" and "," y "
"(Starting with)","(Comienza con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando sea 'No', sólo los campos trazados serán importados. Cuando sea trazado, utilice 'columna1', 'columna2', etc.)"
"(Leave empty for first spreadsheet)","(Dejar vacio para la primer hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos serán añadidos o actualizados para esta tienda si la columna ""tienda"" esta en blanco o perdida en el archivo de importación.)"
"(For US 2-letter state names)","(Para los EU nombres de estado de 2 letras)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Rutas relativa o absoluta a la raíz de instalación de Magento, ej. var/export)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(If left empty will be auto-generated)","(Si se deja en blando será autogenerado)"
"(You have to increase php memory_limit before changing this value)","(Tiene que incrementar php memory_limit antes de cambiar este valor)"
"(\t for tab)","(t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Si la indexación esta en progreso, será anulada y un proceso nuevo de indexación comenzará"
"- or Shift-click to decrease it","- 0 shift-clic para aumentarlo"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes de la hora para aumentarla"
"- or click and drag for faster selection.","- o clic y arrastre para selección más rápida."
"- Hold mouse button on any of the above buttons for faster selection.","- Sostenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s, %s buttons to select year","- Utilice el botón %s para seleccionar mes"
"- Use the %s buttons to select month","- Utilice el botón %s para seleccionar mes"
"-- Please Select --","-- Favor de seleccionar --"
"-- Please select --","-- Favor de seleccionar --"
"-- Please select a category --","-- Favor de seleccione una categoría --"
"--Please Select--","--Favor de seleccionar--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2AHD"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Acceso denegado</h1><p>Acceso denegado.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Error 404</h1><p>Página no encontrada.</p>"
"To","A"
"to","a"
"Performed At","A realizarse en"
"Add","Añadir"
"Add Field with URL:","Añadir campo con URL:"
"Add PHP Extension dependency","Añadir Dependencia de Extensión PHP"
"Add Package dependency","Añadir Dependencia de Paquete"
"Add Subpackage dependency","Añadir Dependencia de Subpaquete"
"Add after","Añadir después"
"Add Exception","Añadir excepción"
"Add Contents Path","Añadir la ruta de los contenidos"
"Add Maintainer","Añadir Mantenedor"
"Add New osCommerce Profile","Añadir perfil nuevo de osCommerce"
"Add Urlrewrite","Añadir Urlrewrite"
"Add Urlrewrite for a Product","Añadir Urlrewrite para un Producto"
"Add Urlrewrite for a Category","Añadir Urlrewrite para una Categoría"
"Year","Año"
"Prev. year (hold for menu)","Año ant. (mantenga para ver menú)"
"Next year (hold for menu)","Año siguiente (mantenga para ver menú)"
"Login","Acceder"
"Log into Magento Admin Page","Acceder a la Página de Administración de Magento"
"Log in to Admin Panel","Acceder al Panel de Administración"
"Resource Access","Acceso de recurso"
"Access Deny","Acceso denegado"
"Access Denied.","Acceso denegado."
"Action","Acción"
"Profile Action","Acción del perfil"
"Actions","Acciones"
"Profile Actions XML","Acciones de Perfiles en XML"
"Actions XML","Acciones XML"
"About the calendar","Acerca del calendario"
"Active","Activo"
"Upgrading $pkg, please wait...","Actualizando $pkg, por favor espere..."
"Upgrading selected packages, please wait...","Actualizando los paquetes seleccionados, por favor espere..."
"Upgrading all available packages, please wait...","Actualizando todos los paquetes disponibles, por favor espere..."
"Upgrading all packages, please wait...","Actualizando todos los paquetes, por favor espere..."
"Refresh","Actualizar"
"Update","Actualizar"
"Upgrade","Actualizar"
"Upgrade all available packages","Actualizar  todos los paquetes disponibles"
"Updated At","Actualizar a"
"Upload Local File","Actualizar archivo local"
"Upgrade all packages","Actualizar todos los paquetes"
"Upgrade All Available Packages","Actualizar todos los paquetes disponibles"
"This product is currently disabled","Actualmente este producto está inhabilitado"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Enclose Values In:","Adjuntar valores en:"
"Admin","Administrador"
"Magento Admin","Administrador de Magento"
"Magento Connect Manager","Administrador Magento Connect"
"Warning: Please don't close window during importing/exporting data","Advertencia, por favor no cierre la ventana durante el proceso de importación/exportación de datos"
"Add Field Mapping","Agregar campo seleccionado"
"Add New Image","Agregar imagen nueva"
"Aggregate Order","Agregar pedido"
"Add New Profile","Agregar Perfil Nuevo"
"Add New Template","Agregar plantilla nueva"
"Add New Urlrewrite","Agregar URL de reescritura nueva"
"Add New User","Agregar usuario nuevo"
"YTD","AHD"
"website(%s) scope","Alcance (%s) del sitio web"
"Default scope","Alcance predeterminado"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos en este pedido tienen diferentes facturas y tipos de envío."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Algunos de los artículos pedidos no existen en el catálogo y serán quitados si intenta modificar el pedido."
"Both (without and with tax)","Ambos (con impuestos y sin ellos)"
"Lastname","Apellido"
"Last Name","Apellido"
"Last Name:","Apellido:"
"API:","API:"
"File","Archivo"
"Watermark File for %s","Archivo de marca de agua por %s"
"Invalid file: %s","Archivo inválido: %s"
"Provided Files","Archivos provistos"
"Drag to move","Arrastre para mover"
"Individual Item","Artículo individual"
"Items","Artículos"
"Google Base Items","Artículos Google Base"
"items selected","Artículos seleccionados"
"Field Mapping","Asignación de campos"
"Assigned","Asignados"
"Add new Role","Asignar Rol nuevo"
"Add New Role","Asignar Rol Nuevo"
"Last Logged In (%s):","Última vez que accedió (%s):"
"Last Logged In:","Último inicio de sesión:"
"Latest Message:","Último mensaje:"
"Switch/Solo Only","Únicamente Switch/Solo"
"Switch/Solo/Maestro(UK Domestic) Only","Únicamente Switch/Solo/Maestro(UK Domestic)"
"Subject","Asunto"
"Template Subject","Asunto de la Plantilla"
"Global Attribute","Atributo Global"
"Attributes","Atributos"
"NOTICE","AVISO"
"notice","aviso"
"store(%s) scope","Ámbito (%s) de la tienda"
"Area","Área"
"Layered Navigation Indices","Índices de Navegación por Capas"
"Warning! Empty value can cause problems with CSV format.","¡Atención! Valores vacíos pueden causar problemas con el formato CSV."
"Are you sure that you want to delete this template?","¿Está seguro de que desea eliminar esta plantilla?"
"Are you sure you wish to UPGRADE all selected packages?","¿Está seguro que desea ACTUALIZAR todos los paquetes seleccionados?"
"Are you sure you wish to UNINSTALL all selected packages?","¿Está seguro que desea DESINSTALAR todos los paquetes seleccionados?"
"Are you sure you wish to INSTALL all selected packages?","¿Está seguro que desea INSTALAR todos los paquetes seleccionados?"
"Are you sure that you want to strip tags?","¿Está seguro que quiere borrar las etiquetas?"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot your user name or password?","¿Olvidó su nombre de usuario o contraseña?"
"What is this?","¿Qué es esto?"
"Do you really want to KILL parallel process and start new indexing process?","¿Realmente quiere anular el proceso en paralelo y empezar un proceso en paralelo de indexación?"
"b","b"
"Search","Búsqueda"
"Global Record Search","Búsqueda  de registro global"
"Global Search","Búsqueda Global"
"Bcc","Bcc"
"Block Information","Bloque de Información"
"Invalid parrent block for this block","Bloque Pariente inválido para este bloque"
"Clear","Borrar"
"Radio Buttons","Botones Radio"
"Search Index","Buscar Índice"
"Search Term","Buscar Término"
"Search Terms","Buscar Términos"
"Zip/Postal Code","C.P./Código Postal"
"Zip/Postal Code:","C.P./Código Postal:"
"Images Cache","Cache de Imagenes"
"All Cache","Cache todo"
"Design change deleted","Cambio de diseño eliminado"
"Design change saved","Cambio de diseño guardado"
"ID Path","Camino ID"
"Field","Campo"
"Channel","Canal"
"Channel:","Canal:"
"Cancel","Cancelar"
"Unselect Visible","Cancelar la selección de Visible"
"Unselect All","Cancelar todas las selecciones"
"Qty","Cant."
"Quantity","Cantidad"
"Subtotal Amount","Cantidad  del Subtotal"
"Discount Amount","Cantidad de descuento"
"Stock Quantity:","Cantidad de Existencias:"
"Total Amount","Cantidad total"
"Total Order Amount","Cantidad total del pedido"
"Amounts","Cantidades"
"Loading...","Cargando..."
"Upload import file","Cargar archivo de importación"
"Load default template","Cargar la plantilla por default"
"Load local Package","Cargar paquete local"
"Load Template","Cargar plantilla"
"Shopping Cart from %s","Carrito de compras de %s"
"Checkbox","Casillas de selección"
"CatalogInventory Stock Status rebuild error. Please try again later","CatalogInventory Stock Status rebuild error. Please try again later"
"CatalogInventory Stock Status was rebuilt successfully","CatalogInventory Stock Status was rebuilt successfully"
"Catalog","Catálogo"
"Catalog Rewrites","Catálogo Rewrites"
"Catalog Rewrites were refreshed successfully","Catálogo Rewrites fue regenerado exitosamente"
"Catalog Rewrites was refreshed successfully","Catálogo Rewrites fue regenerado exitosamente"
"Category","Categoría"
"Category:","Categoría:"
"Coupon Code","Código de cupón"
"Close","Cerrar"
"close","cerrar"
"Sort Order","Clasificar pedido"
"Api Key","Clave Api"
"New Api Key","Clave Nueva de Api"
"Customer","Cliente"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"New Customers","Clientes Nuevos"
"Queued... Cancel","Cola... Cancelar"
"Credit Memo #%s comment added","Comentario #% añadido al Memo de crédito"
"Shipment #%s comment added","Comentario #%s  de envío añadido"
"Invoice #%s comment added","Comentario #%s añadido a la factura"
"Shipment Comments","Comentaros de Envíos"
"Starting profile execution, please wait...","Comenzando la ejecución del Perfil, por favor espere..."
"Complete","Completo"
"Connect with the Magento Community","Conectar con la Comunidad de Magento"
"Configuration","Configuración"
"Current Configuration Scope:","Configuración actual de la extensión:"
"Wrong tab configuration","Configuración errónea de pestañas"
"Configuration successfully saved","Configuración guardada exitosamente"
"PEAR config","Configuración PEAR"
"Default Config","Configuración predeterminada"
"Api Key Confirmation","Confirmación de Clave Api"
"Password Confirmation","Confirmación de contraseña"
"Confirmed email:","Confirmar email:"
"Conflicts","Conflictos"
"Attribute set successfully saved.","Conjunto de atributos guardado satisfactoriamente."
"PEAR Console","Consola PEAR"
"Template Content","Contenido de la plantilla"
"Contents","Contenidos"
"Password","Contraseña"
"New Password","Contraseña Nueva"
"New admin password","Contraseña Nueva de administrador"
"Password:","Contraseña:"
"Cache Control","Control de Cache"
"Cache Control (beta)","Control de Cache (beta)"
"Convert to Plain Text","Convertir a texto plano"
"Cookie (Unsafe)","Cookie (Insegura)"
"Transactional Emails","Correos electrónicos transaccionales"
"CRITICAL","CRÍTICO"
"critical","crítico"
"Created At","Creado el"
"Create","Crear"
"Create New Attribute","Crear atributo nuevo"
"Create DB Backup","Crear Respaldo de BD"
"Create Extension Package","Crear un paquete de extensión"
"Create Urlrewrite:","Crear Urlrewrite:"
"Create a backup","Create a backup"
"Create New Staging Store View","Create New Staging Store View"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separados"
"Any Status","Cualquier estatus"
"Any Group","Cualquier grupo"
"Any Attribute Set","Cualquier set de cualidades"
"Any Store","Cualquier tienda"
"Any Type","Cualquier tipo"
"Any Visibility","Cualquier visibilidad"
"Any","Cualquiera"
"Account Created on (%s):","Cuenta creada en (%s):"
"Account Created in:","Cuenta creada en:"
"Account Created on:","Cuenta creada sobre:"
"Account successfully saved","Cuenta guardada exitosamente"
"New Accounts","Cuentas Nuevas"
