"Please wait, loading..."," Por favor, espere, cargando ..."
"%s already exists","%s ya existe"
"%s already exist","%s ya existe"
"-- Please Select --","-- Seleccione --"
"Add Store Code to Urls","Añadir Código de la tienda a las URLs"
"Add Block Names to Hints","Añadir Nombres de Bloques para Sugerencias"
"Enabled","Activado"
"Invalid layout update handle","Actualización de manejo de diseño inválida"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Admin","Administrador"
"Admin Base URL","Administrador Base URL"
"Unknown scope ""%s""","Alcance desconocido ""%s"""
"Logo Image Alt","Alt de la Imagen del Logo"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar el código de comentarios de la tienda, asegúrate de que no se utiliza en index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar el código del sitio web, por favor asegúrese de que no se utiliza en index.php"
"Unsecure","Anular la seguridad"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento inválido de actualización de diseño, se espera Mage_Core_Model_Layout_Element"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegurece por favor de que Base URL termine con '/' (slash), ej. http://yourdomain/magento/"
"Customer support","Atención al cliente"
"Advanced","Avanzado"
"Are you sure?","¿Estás seguro?"
"Block with name ""%s"" already exists","Bloque con nombre ""%s"" ya existe"
"Invalid block: %s","Bloque inválido: %s"
"Search","Buscar"
"Design Change","Cambiar diseño"
"Cancel","Cancelar"
"Layouts","Capas"
"Code","Código"
"Invalid transactional email code: ","código de Email de transacción inválido:"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código de la tienda debe contener sólo letras (a-z), números (0-9) o guión bajo (_), el primer carácter debe ser una letra "
"Match expressions in the same order as displayed in the configuration.","Coincidir expresiones en el mismo orden como se muestra en la configuración."
"Collections Data","Colecciones de Datos"
"Configuration","Configuración"
"Log Settings","Configuración de registro"
"Invalid websites configuration path: %s","configuración de ruta de acceso de sitios web inválido: %s"
"General Settings","Configuración general"
"SMTP settings (Windows server only)","Configuración SMTP (servidor de Windows solamente)"
"General contact","Contacto general"
"Cookie Domain","Cookie de Dominio"
"Session Cookie management","Cookie de sesión de gestión"
"Copyright","Copyright"
"Create Website","Crear Sitios Web"
"Create Store","Crear tienda"
"Create Store View","Crear Vista de la tienda"
"Weekend Days","Días de la semana"
"Please define flag code.","Defina código de bandera por favor."
"Leave empty for access from any location","Dejar vacío para el acceso desde cualquier lugar"
"Debug","Depuración"
"Disable email communications","Desactivar las comunicaciones del correo electrónico"
"Disable modules output","Desactivar los módulos de salida"
"Default Description","Descripción predeterminada"
"Store Email Addresses","Direcciones de Email de Tienda"
"Allowed IPs (comma separated)","direcciones IP permitidas (separados por comas)"
"Layout","Diseño"
"Design","Diseño"
"New Design Change","Diseño de Cambio Nuevo"
"Custom Design","Diseño Personalizado"
"Duplicate Of Template Code","Duplicado del Código de Plantilla"
