"Leave empty for default (15 minutes).","(15 minutos) predeterminados si deja vacio."
"Leave empty for default (2). Valid range: 1-4","(2) predeterminado si deja vacio. Rango válido: 1-4"
"* Required Fields","* Campos Requeridos"
"Gender","Género"
"Male","Hombre"
"Female","Mujer"
"YYYY","AAAA"
"Year","Año"
"Action","Acción"
"Update","Actualizar"
"Update customer address data","Actualizar datos de dirección del cliente"
"Update customer data","Actualizar datos del cliente"
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias."
"You are currently not subscribed to our newsletter","Actualmente no estás suscrito a nuestro boletín de noticias"
"Admin","Administrador"
"Added From","Agregado desde"
"Add New Address","Agregar Dirección Nueva"
"Add New Customer","Agregar Nuevo Cliente"
"Add New Customer Group","Agregar Nuevo Grupo de Clientes"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"Last Name","Apellido"
"Missing lastname, skipping the record","Apellido Falta, registro omitido"
"Customer Api","Api de Cliente"
"Approved","Aprobado"
"No item specified.","Artículo sin especificar."
"Items Order","Artículos del Pedido"
"No Items Found","Artículos No Encontrados"
"Assign a customer group","Asignar un grupo de clientes"
"Last Activity","Última Actividad"
"Last date unsubscribed","Última fecha de baja"
"Last date subscribed","Última fecha suscrita"
"Last Url","Última Url"
"Last 5 Orders","Últimos 5 Pedidos"
"Last Viewed Items","Últimos Artículos Vistos"
"Subject","Asunto"
"Hello, %s!","¡Hola %s!"
"or","ó"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Estás seguro de que desea cancelar la adición de esta dirección?"
"Are you sure you want to delete this address?","¿Estás seguro de que deseas eliminar esta dirección?"
"Are you sure?","¿Estás seguro?"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Subscribed to Newsletter?","¿Se Suscribe a Noticias?"
"ZIP","C.P."
