"--Please Select--","--Seleccionar Por Favor--"
"<label>Make Check payable to</label>: %s","<label>Haga el cheque pagadero a:</label> %s"
"<label>Make Check payable to:</label> %s","<label>Haga el cheque pagadero a:</label> %s"
"Year","Año"
"Enabled","Activado"
"Automatically invoice all items","Automatically invoice all items"
"What is this?","¿Qué es esto?"
"Card Verification Number","Código de Seguridad de la Tarjeta"
"Check / Money order","Cheque / Giro postal"
"Payment from applicable countries","El pago de países aplicables"
"Payment from Specific countries","El Pago de países específicos"
"Send Check to","Enviar Cheque a"
"Send Check to:","Enviar Cheque a:"
"New order status","Estatus del pedido nuevo"
"Expiration Date","Fecha de Vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Saved CC","Guardado CC"
"Make Check payable to","Haga el cheque pagadero a"
"Make Check payable to: %s","Haga el cheque pagadero a: %s"
"Can not retrieve payment method model object.","Imposible recuperar el objeto del método de pago."
"Can not retrieve payment method instance","Imposible recuperar la instancia del método de pago"
"Payment Methods","Métodos de pago"
"Month","Mes"
"Purchase Order Number","Número de Orden de Compra"
"Purchase Order Number: %s","Número de Orden de Compra: %s"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: %s","Número de Tarjeta de Crédito: %s"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Can not configuration for payment method with code: %s","No es posible la configuración del método de pago con el código: %s"
"Can not retrieve payment info model object.","No es posible recuperar el objeto del mmodelo de información del pago."
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"Purchase order","Orden de compra"
"Sort order","Ordenar Pedido"
"Zero Subtotal Checkout","Pago Subtotal Cero"
"Payment Methods Section","Sección de Métodos de Pago"
"Title","Título"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de Tarjeta: %s"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Name on Card","Titular de la tarjeta"
"Maximum Order Total","Total Máximo de Pedido"
"Minimum Order Total","Total Mínimo de Pedido"
"Credit Card Verification","Verificación de Tarjetas de Crédito"
