"to","a"
"Open Chooser","Abrir el Selector"
"Add","Agregar"
"Apply","Aplicar"
"Invalid discount amount.","Cantidad de descuento inválida."
"MATCHING ANY","COINCIDIR CUAQUIERA"
"MATCHING ALL","COINCIDIR TODO"
"contains","contenidos"
"ANY","CUALQUIER"
"Description: %s","Descripción: %s"
"Remove","Eliminar"
"Start at: %s","Empezar en: %s"
"is","es"
"is one of","es uno de"
"FALSE","FALSE"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
"NOT MATCHING ALL","NO COINCIDIR TODO"
"does not contain","No contiene"
"is not","no es"
"is not one of","no es uno de"
"Name: %s","Nombre: %s"
"NOT MATCHING ANY","NOOINCIDIR CUAQUIERA"
"by","por"
"Please choose an action to add...","Por favor, elija una acción para añadir..."
"Please choose a condition to add...","Por favor, elija una de las condiciones para añadir..."
"Perform following actions","Realizar las acciones siguientes"
"If %s of these conditions are %s:","Si %s de estas condiciones %s:"
"ALL","TODOS"
"TRUE","TRUE"
"Expire at: %s","Vence el: %s"
