"Add Recipient","Añadir Destinatario"
"Some emails was not sent","Algunos emails no fueron enviados"
"Some problems with data.","Algunos problemas con los datos."
"Recipient:","Destinatario:"
"Email Address","Dirección de Email"
"Email Address:","Dirección de Email:"
"Link to a friend was sent.","El enlace ya fué enviado a su(s) amigo(s)."
"Remove Email","Eliminar Email"
"Email:","Email:"
"Send email","Enviar email"
"Email to a Friend","Enviar por Email a un Amigo"
"Send product to a friend","Enviar producto a un amigo"
"Enabled","Habilitado"
"Allow for Guests","Habilitar para Invitados"
"Limit Sending By","Límite Enviado Por"
"Maximum %d email addresses allowed.","Máximo %d  direcciones de email permitidas."
"Max Products Sent in 1 Hour","Máximo de Productos Enviados en 1 Hora"
"Max Recipients","Máximo de Receptores"
"Message:","Mensaje:"
"You cannot send more than %d times in an hour","No puede enviar más de %d veces en una hora"
"You cannot email this product to a friend","No puede enviar por email este producto a un amigo"
"Name","Nombre"
"Name:","Nombre:"
"Email templates","Plantillas de Emails"
"Sender:","Remitente:"
"Select email template","Seleccionar plantilla de email"
