"# of Uses","# de Usos"
"%s tag(s) have been accepted for moderation","%s etiqueta(s) han sido aceptada(s) para moderación"
"Action","Acción"
"Actions","Acciones"
"Add to Wishlist","Agregar a Lista de Deseados"
"Add to Cart","Agregar al Carrito"
"Add New Tag","Agregar Etiqueta Nueva"
"Add Tags","Agregar Etiquetas"
"Add Your Tags:","Agregar Tus Etiquetas:"
"Last Name","Apellido"
"Approved","Aprobada"
"Are you sure you want to delete this tag?","¿Está usted seguro que desea eliminar esta etiqueta?"
"Are you sure that you want to delete this tag?","¿Está usted seguro que desea eliminar esta etiqueta?"
"Are you sure you want to do this?","¿Está usted seguro que desea hacer esto?"
"Are you sure?","¿Está usted seguro?"
"ZIP/Post Code","C.P./Código Postal"
"Change status","Cambiar estatus"
"Click on a tag to view your corresponding products.","Clic en una etiqueta para ver sus productos correspondientes."
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Email","Correo Electrónico"
"CSV","CSV"
"Delete","Eliminar"
"Delete Tag","Eliminar Etiqueta"
"Status","Estatus"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product","Etiqueta ""%s"" ya ha sido añadida a el producto"
"New Tag","Etiqueta Nueva"
"Tagged in","Etiquetado en"
"Customers Tagged '%s'","Etiquetado por Cliente '%s'"
"Tags","Etiquetas"
"Product Tags","Etiquetas de Producto"
"Pending Tags","Etiquetas Pendientes"
"Popular Tags","Etiquetas Populares"
"Tags:","Etiquetas:"
"Thank you. Your tag has been accepted for moderation.","Gracias. Su etiqueta ha sido aceptada para moderación."
"Save Tag","Guardar Etiqueta"
"ID","ID"
"Tag Information","Informació de Etiqueta"
"Block Information","Información de bloque"
"General Information","Información General"
"Disabled","Inhabilitado"
"Tag can't be empty.","La etiqueta no puede estar vacía."
"Tags Aren't Available","Las Etiquetas No Están Habilitadas"
"List","Lista"
"My Tags","Mis Etiquetas"
"My Recent Tags","Mis Etiquetas Recientes"
"Edit Tag","Modificar Etiqueta"
"Edit Tag '%s'","Modificar Etiqueta '%s'"
"Unable to save tag(s)","No es posible guardar la(s) etiqueta(s)"
"Unable to save your tag. Please, try again later.","No es posible guardar su etiqueta. Por favor, intente de nuevo más tarde."
"No matches found.","No se encontraron coincidencias."
"Unable to find any products tagged with '%s' in the current store","No se encontraron productos etiquetados con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se puede eliminar la etiqueta. Por favor, intente de nuevo más tarde."
"SKU","No. Ref. (SKU)"
"Product SKU","No. Ref. (SKU) del Producto"
"Name","Nombre"
"Tag Name","Nombre de Etiqueta"
"Tag Name: %s","Nombre de Etiqueta: %s"
"Product Name","Nombre del Producto"
"First Name","Nombre(s)"
"Other people marked this product with these tags:","Otra persona marcó este producto con estas etiquetas:"
"Country","País"
"Pending","Pendiente"
"Popular","Populares"
"Popularity","Popularidad"
"Price","Precio"
"Products","Productos"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Products Tagged with '%s'","Productos Etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Productos etiquetados con '%s' (<a href='%s'>RSS</a>)"
"Back","Regresar"
"Back to Tags List","Regresar a Lista de Etiquetas"
"Back to view Tag","Regresar para ver Etiqueta"
"Grid","Rejilla"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultados de Busqueda para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Términos de Búsqueda"
"Telephone","Teléfono"
"All Tags","Todas las Etiquetas"
"Your tag was successfully deleted","Tu etiqueta fue eliminada exitosamente"
"Your tag was successfully saved","Tu etiqueta fue eliminada exitosamente"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar las etiquetas. Use comillas simples (') por frase."
"Uses","Usos"
"You have not tagged any products yet.","Usted no ha etiquetado ningún producto aun."
"View Customers","Ver Clientes"
"View Products","Ver Productos"
"View All","Ver Todas"
"View All Tags","Ver Todas las Etiquetas"
"Visible In","Visible En"
"XML","XML"
