"Actions","Acciones"
"Update frequency","Actualización de la frecuencia"
"Last update","Última actualización"
"notice","aviso"
"Are you sure?","¿Está seguro?"
"critical","crítico"
"Remove","Eliminar"
"Error while removing. Please try again later.","Error al eliminar. Por favor, inténtelo de nuevo más tarde."
"Error while marking as read. Please try again later.","Error al marcar como leído. Por favor, inténtelo de nuevo más tarde."
"Error while marking. Please try again later.","Error al marcar. Por favor, inténtelo de nuevo más tarde."
"Date Added","Fecha agregada"
"Severity","Gravedad"
"Read Details","Leer Detalles"
"Mark as read","Marcar como leído"
"Mark as Read","Marcar como leído"
"major","mayor"
"minor","menores"
"Message","Mensaje"
"Message was successfully removed","Mensaje se ha eliminado"
"Message was successfully marked as read","Mensaje se ha marcado como leído"
"Messages Inbox","Mensajes de la Bandeja de entrada"
"Show Toolbar","Mostrar la barra de herramientas"
"Show List","Mostrar lista"
"Unable to proceed. Please, try again","No se puede proceder. Por favor, inténtelo de nuevo"
"Notifications","Notificaciones"
"Please select messages","Por favor, seleccione los mensajes"
"Total of %d record(s) were successfully removed","Un total de %d registro(s) se ha(n) eliminado"
"Total of %d record(s) were successfully marked as read","Un total de %d registro(s) se ha(n) marcados como leídos"
"Use HTTPS to get feed","Usar HTTPS para obtener feed"
