" and "," y "
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', sólo campos mapeados seran importados. Cuando mapee, utilice 'column1', 'column2', etc.)"
"(Leave empty for first spreadsheet)","(Deje vacío para la primer hoja de cálculo)"
"(Starting with)","(Empezar con)"
"(You have to increase php memory_limit before changing this value)","(Hay que aumentar memory_limit de php antes de cambiar este valor)"
"(For US 2-letter state names)","(Para EE.UU. los nombres de estados en 2 letras)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Productos serán añadidos/actualizados a la tienda si la columna de la 'tienda' está en blanco o falta en el archivo de importación de productos.)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta o relativa para instalar raíz de Magento, ejem. var/export)"
"(Shift-)Click or drag to change value","(Shift-)Clic o arrastre para cambiar valor"
"(If left empty will be auto-generated)","(Si se deja vacío se genera automáticamente)"
"(\t for tab)","(t para tab)"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes del tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"- or click and drag for faster selection.","- o clic y arrastre para una selección más rápida."
"- or Shift-click to decrease it","- o Shift-clic para disminuirlo"
"- Use the %s buttons to select month","- Use los botones de %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice el botón %s, %s para seleccionar año"
"To","A"
"to","a"
"Add Field with URL:","Añadir campo con la URL:"
"Add Contents Path","Añadir Contenido de ruta"
"Add PHP Extension dependency","Añadir Extensión PHP dependiente"
"Add Maintainer","Añadir mantenimiento"
"Add Package dependency","Añadir Paquete dependiente"
"Add New Template","Añadir plantilla nueva"
"Add New Role","Añadir Rol Nuevo"
"Add Subpackage dependency","Añadir Sub-paquete dependiente"
"Prev. year (hold for menu)","Año anterior (espere por menú)"
"Access Denied.","Acceso denegado."
"Action","Acción"
"Actions","Acciones"
"About the calendar","Acerca del calendario"
"Upgrade All Available Packages","Actualizar todos los paquetes disponibles"
"Add","Add"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Add New User","Agregar usuario nuevo"
"Current Configuration Scope:","Alcance de configuración actual:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos de este pedido tienen diferentes tipos de factura y envío. Puede crear un envío sólo después de que la factura sea creada."
"Last Name:","Apellido:"
"API:","API"
"Credit Memo Totals","Apuntes de Crédito Total"
"Archive file name:","Archivo de nombre de archivo:"
"Drag to move","Arrastrar para mover"
"items selected","artículos seleccionados"
"Last Logged In (%s):","Última vez que ingreso (%s):"
"Last Logged In:","Última vez que ingreso:"
"Latest Message:","Último mensaje:"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 Términos de búsqueda"
"Attributes","Atributos"
"notice","aviso"
"Warning! Empty value can cause problems with CSV format.","¡Atención! Valor vacio puede causar problemas con el formato CSV."
"Are you sure that you want to delete this template?","¿Está seguro que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","¿Estás seguro de que desea deshacer las etiquetas?"
"What is this?","¿Qué es esto?"
"Global Record Search","Búsqueda global de registro"
"Delete","Borrar"
"Zip/Postal Code:","C.P./Código postal"
"Path","Camino"
"Channel","Canal"
"Channel:","Canal:"
"Unselect Visible","Cancelar la selección de visible"
"Unselect All","Cancelar todo lo seleccionado"
"Qty","Cantidad"
"Stock Quantity:","Cantidad en Existencia:"
"Upload Local File","Carga de Archivos Locales"
"Loading...","Carga..."
"Upload local file:","Cargar archivo local:"
"Catalog","Catálogo"
"Issue Number","Código de seguridad"
"Close","Cerrar"
"Log Out","Cerrar sesión"
"Customer Since:","Cliente Desde:"
"Customers","Clientes"
"Shipment Comments","Comentarios del envío"
"Connect with the Magento Community","Conéctate con la Comunidad de Magento"
"Web Services Configuration","Configuración de servicios Web"
"General Settings","Configuración general"
"Order confirmation email sent","Confirmación de pedido por email enviada"
"Confirmed email:","Confirmar el email:"
"Contents","Contenidos"
"Password","Contraseña"
"Dashboard","Controles en pantalla"
"critical","crítico"
"Account Created on (%s):","Creado en cuenta (%s):"
"Account Created in:","Creado en cuenta:"
"Create a backup","Create a backup"
"Create New Staging Store View","Create New Staging Store View"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"CSV / Tab separated","CSV / Pestaña separadas"
"Account Created on:","Cuenta creada el:"
"From","De"
"of %s pages","de %s páginas"
"Leave empty to use tax identifier","Dejar vacío para uso de identificación de impuestos"
"Value Delimiter:","Delimitador de valor:"
"Dependencies","Dependencias"
"Download Remote File","Descargar archivo remoto"
"Description:","Descripción:"
"DHTML Date/Time Selector","DHTML Selector Fecha/Hora"
"Shipping Address","Dirección de Envío"
"Billing Address","Dirección de Facturación"
"Primary Billing Address","Dirección Principal de Facturación"
"Direction:","Dirección:"
"Resource Access","Disponibilidad de recursos"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo licencia GNU LGPL. Ver %s para más detalles."
"Order confirmation email not sent","E-mail de confirmación de pedido no se envió"
"Invalid webservice adapter specified","El adaptador de servicio web especificado es inválido"
"Invalid webservice handler specified","El manejador de servicio web especificado es inválido"
"Shipping method selection is not applicable","El método de envío seleccionado no es aplicable"
"Next year (hold for menu)","El próximo año (esperar por menú)"
"Next month (hold for menu)","El próximo mes (esperar por menú)"
"Google Base Items","Elementos de Google Base"
"Choose Store View","Elija la vista de la tienda"
"Email","Email"
"Email:","Email:"
"Issuer: %s","Emisor: %s"
"Enclose Values In:","En Adjúntese Valores:"
"In File:","En el archivo:"
"Please use in this field only ""a-z,0-9,_"".","En este campo favor de utilizar únicamente ""a-z,0-9,_""."
"In Database:","En la base de datos:"
"Entity type:","Entidad de tipo:"
"This tab contains invalid data. Please solve the problem before saving.","Esta pestaña contiene datos inválidos. Por favor, resolver el problema antes de guardar."
"State/Province:","Estado/Provincia:"
"Status","Estatus"
"Status:","Estatus:"
"This is a required field.","Este es un campo obligatorio."
"Excl. Tax","Excl. Impuestos"
"Exclude","Excluir"
"Export:","Exportar"
"Export","Exportar"
"Export to:","Exportar a:"
"Extension","Extensión"
"Extensions","Extensiones"
"Start Date","Fecha de Inicio"
"Date selection:","Fecha de selección:"
"Expiration Date","Fecha de Vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Date:","Fecha:"
"Export Filters","Filtros de exportación"
"Finished items creation.","Finished items creation."
"Data Format","Formato de datos"
"FTP Host[:Port]","FTP host [: puerto]"
"Remote FTP","FTP Remoto"
"Manage Stores","Gestión de tiendas"
"Customer Group:","Grupo de los clientes:"
"Group:","Grupo:"
"Done by:","Hecho por:"
"Done By:","Hecho por:"
"Comments History","Historia de Comentarios"
"Shipment History","Historial de envío"
"Invoice History","Historial de la factura"
"Credit Memo History","Historial de notas de crédito"
"Time:","Hora:"
"Ignore","Ignorar"
"Big Image","Imagen Grande"
"images/logo.gif","images/logo.gif"
"Images","Imágenes"
"Import","Importar"
"Import Service","Importar servicios"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Include","Incluir"
"File Information","Información de archivo"
"Current Release Information","Información de la versión actual"
"Profile Information","Información del perfil"
"Personal Information","Información Personal"
"Logged in as %s","Iniciar sesión como %s"
"Installed As","Instalado Como"
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz Local: %s"
"Go Today","Ir Hoy"
"Items to merge","Items to merge"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración de PHP de tu servidor te permiten subir archivos de no más de %s a la vez. Por favor, modifique valores de post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) en el php.ini si quiere cargar archivos más grandes."
"Shipping address selection is not applicable","La Dirección de envío seleccionada no es aplicable"
"The information in this tab has been changed.","La información de esta ficha ha sido modificada."
"Read details","Leer detalles"
"License:","Licencia:"
"Local/Remote Server","Local/Servidor Remoto"
"Top 5 Search Terms","Los 5 mejores términos de Búsqueda"
"Maintainers","Los de Mantenimiento"
"Magento Core Api","Magento API del núcleo"
"Magento Logo","Magento Logo"
"Original Magento attribute names in first row:","Magento Original de nombres de atributos en el primer renglón:"
"Magento ver. %s","Magento ver. %s"
