"--Select--","--Seleccionar--"
"To","A"
"To:","A:"
"Add New Option","Añadir opción nueva"
"Add Selection","Añadir Selección"
"User Defined Qty","Cant. definida por Usuario"
"Default Qty","Cant. predeterminada"
"Qty:","Cant:"
"Checkbox","Casilla de Selección"
"Close","Cerrar"
"Buy %1$s with %2$s discount each","Comprar %1$s con %2$s de descuento cada uno"
"From","Desde"
"From:","Desde:"
"Drop-down","Desplegable horz. (Drop-down)"
"Dynamic","Dinámico"
"Shipment","Envío"
"Ship Bundle Items","Enviar Paquete de artículos"
"Is Required","Es requerido"
"Choose a selection...","Escoger selección..."
"Please specify product option(s)","Especifique opcion(es) de productos por favor."
"This product is also part of bundle(s)","Este producto también es parte de (los) paquete(s)"
"Excl. Tax","Excl. Impuestos"
"Fixed","Fijo"
"Incl. Tax","Incl. Impuestos"
"Please enter search conditions to view products.","Ingrese las condiciones de la búsqueda para ver los productos por favor."
"Together","Juntos"
"Gift Message","Mensaje de regalo"
"Message:","Mensaje:"
"N/A","N/A"
"No options of this product are available.","Ninguna opción de este producto está disponible."
"None","Ninguno"
"There is no defined renderer for ""%s"" option type","No hay un intérprete definido para ""%s"" tipo de opción"
"Required options not selected.","Opciones requeridas no seleccionadas."
"Selected required options not available.","Opciones requeridas seleccionadas no están disponibles."
"Bundle Items","Paquete de artículos"
"Bundle Product","Paquete de productos"
"Percent","Porcentaje"
"Percent Discount","Porcentaje de descuento"
"Position","Posición"
"Price as configured","Precio como fue configurado"
"Default","Predeterminado"
"Radio Buttons","Radio Botones"
"Price Range","Rango del precio"
"Multiple Select","Selección Múltiple"
"Please select options for product.","Seleccione opciones para productos por favor."
"Please select products to add","Seleccione productos a añadir por favor."
"Separately","Separadamente"
"As low as","Tan bajo como"
"Store View Title","Título de la Vista de la Tienda"
"Default Title","Título predeterminado"
"Input Type","Tipo de Entrada (Input Type)"
"Price Type","Tipo de precio"
