"Actions","Acciones"
"Active","Activo"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Add New Rule","Agregar nueva regla"
"Apply Rules","Aplicar reglas"
"Save and Apply","Aplicar y guardar"
"Product Attribute","Atributo del producto"
"Catalog","Catalogo"
"Category","Categoría"
"Customer registered: %s","Cliente Registrado: %s"
"Conditions Combination","Combinación de condiciones"
"Start at: %s","Comienza en: %s"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (dejar en blanco para todos los productos)"
"Attribute Set","Conjunto de Atributos"
"Description","Descripción"
"Description: %s","Descripción: %s"
"From Date","Desde la fecha"
"Stop further rules processing","Detener nuevos procesamientos de reglas"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Reglas '%s'"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Delete Rule","Eliminar Regla"
"Shipments","Envíos"
"Order Shipments","Envíos del pedido"
"This rule no longer exists","Esta regla ha dejado de existir"
"Status","Estado"
"Invoices","Facturas"
"Order Invoices","Facturas del pedido"
"Date Start","Fecha de inicio"
"Date Expire","Fecha de vencimiento"
"Date From","Fecha desde"
"Customer Groups","Grupos de Clientes"
"Save Rule","Guardar regla"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Hay reglas que han cambiado pero no se han aplicado. Por favor, clic en Aplicar Reglas con el fin de ver inmediatamente los cambios en el catálogo."
"Comments History","Historial de comentarios"
"Order History","Historial del pedido"
"ID","ID"
"Unable to apply rules","Imposible de Aplicar Reglas"
"Unable to find a page to delete","Imposible de encontrar una página para eliminar"
"Inactive","Inactivo"
"Rule Information","Información de la regla"
"General Information","Información General"
"The page you are trying to save no longer exists","La página que estas intentando guardar ha dejado de existir"
"Rule was successfully saved","La regla fue guardada satisfactoriamente"
"Rule was successfully deleted","La regla fue satisfactoriamente eliminada"
"Rules were successfully applied","Las reglas fueron aplicadas satisfactoriamente"
"Order Credit Memos","Memos de órdenes de crédito"
"Credit Memos","Memos de Crédito"
"Gift Messages","Mensajes de Regalo"
"Order Gift Messages","Mensajes de Regalo del pedido"
"No","No"
"NOT LOGGED IN","NO SE INICIO SESION"
"Rule Name","Nombre de la regla"
"Name: %s","Nombres: %s"
"Options","Opciones"
"To Date","Para Fecha"
"Date To","Para la fecha"
"Priority","Prioridad"
"Promotions","Promociones"
"Catalog Price Rules","Regla de precios del Catálogo"
"Catalog Price Rule","Regla de precios del catálogo"
"New Rule","Regla Nueva "
"Yes","Sí"
"Websites","Sitios Web"
"Expire at: %s","Vence el: %s"
