"%s and greater","%s y mayores"
"Applies for ""Like"" Search type only","Aplica por ""Like"" Tipo de Búsqueda únicamente"
"Apply Layered Navigation if search results are less than","Aplicar capas de navegación, si los resultados de búsqueda son menores que"
"Don't see what you're looking for?","¿No ve lo que está buscando?"
"Search Site","Búscar en el sitio"
"Advanced Search","Búsqueda Avanzada"
"Your search returns no results.","Búsqueda sin resultados."
"Search","Buscar"
"Search entire store here...","Buscar aquí en toda la tienda..."
"Required Fields","Campos obligatorios"
"Catalog Search","Catálogar Búsqueda"
"Catalog Advanced Search","Catálogar Búsqueda Avanzada"
"Search Settings","Configuración de búsqueda"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Configuración relacionados con el cambio del atributo con índice de búsqueda. Por favor, ejecute el proceso <a href=""%s"">Reconstruir el Índice de Búsqueda</a>"
"up to %s","hasta %s"
"Home","Inicio"
"Go","Ir"
"Go to Home Page","Ir a la Página de Inicio"
"List","Lista"
"Autogenerated site map","Mapa del sitio auto generado"
"Maximum Query Words Count","Máximo Conteo de Palabras por Consulta"
"Maximum Query Length","Máximo Largo de Consulta"
"Maximum Search query  length is %s. Your query was cut.","Máximo largo de consulta de busqueda es %s. Su consulta fue acortada."
"Minimal Query Length","Mínimo Largo de Consulta"
"Modify your search","Modifique su búsqueda"
"No items were found using the following search criteria.","Ningún artículo fue encontrado utilizando el criterio de búsqueda siguiente."
"No","No"
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Please enter ""0"" to enable layered navigation for any number of results","Por favor introduzca ""0"" para activar navegación por capas para cualquier número de resultados"
"Grid","Rejilla"
"Relevance","Relevancia"
"Results","Resultados"
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Yes","Sí"
"Subscribe to Feed","Suscribirse a Feed"
"Search Terms","Términos de búsqueda"
"Popular search terms","Términos de búsqueda populares"
"Popular Search Terms","Términos de búsqueda populares"
"You have to specify at least one search term","Tiene que especificar al menos un término de búsqueda"
"Search Type","Tipo de Búsqueda"
"All","Todo"
