" Copy"," Copia"
"Action","Acción"
"Add to Queue","Agregar a cola"
"Add New Template","Agregar plantilla nueva"
"Newsletter unsubscription success","Anulación de suscripción exitosa"
"Unsubscribe","Anular Suscripción"
"Unsubscribe Selected","Anular Suscripción seleccionada"
"Customer Lastname","Apellido del Cliente"
"Subject","Asunto"
"Queue Subject","Asunto de Cola"
"Sign me up","¡Inscríbanme!"
"Are you sure that you want to strip all tags?","¿Estás seguro de que desea deshacer todas las etiquetas?"
"Are you sure that you want to delete this template?","¿Estás seguro que desea eliminar esta plantilla?"
"Do you really want to cancel the queue?","¿Realmente desea cancelar la cola?"
"Newsletter","Boletín de noticias"
"Queue Newsletter","Boletín de noticias en Cola"
"Toggle Editor","Cambio de editor"
"Cancelled","Cancelado"
"Cancel","Cancelar"
"Unsubscribed","Cancelar suscripción"
"Invalid subscription confirmation code","Código de confirmación de subscripción inválido"
"Error Code","Código de error"
"Customer","Cliente"
"Queue Information","Cola de Información"
"Newsletter Queue","Cola de tareas del Boletín de noticias"
"Invalid queue selected","Cola Seleccionada inválida"
"Newsletter subscription confirmation","Confirmación de la subscripción al Boletín de noticias"
"Convert to Plain Text","Convertir a texto sin formato"
"Email","Correo electrónico"
"Create Newsletter Template","Crear plantilla para el boletín de noticias"
"Need to Confirm","Debe confirmar"
"Not activated","Desactivado"
"Recipients","Destinatario"
"Duplicate of template code","Duplicar el código de plantilla"
"Sender Email","E-mail del remitente"
"Edit Newsletter","Editar Noticias"
"Form was filled incorrectly","El formulario fue llenado incorrectamente"
"Invalid subscription ID","El ID de la subscripción es inválido"
"Invalid subscriber ID","El ID del subscriptor es inválido"
"Delete Template","Eliminar Plantilla"
"Delete Selected Problems","Eliminar Problemas seleccionados"
"Unsubscription Email Sender","Email del remitente de la anulación de suscripción"
"Success Email Sender","Email del Remitente Exitoso"
"Sending","Envío"
"Sent","Enviados"
"Set Return-Path","Establecer ruta de retorno"
"Status","Estatus"
"Date Updated","Fecha de Actualización"
"Queue Date Start","Fecha de Inicio de Cola"
"Date Added","Fecha en que se agregó"
"Queue Finish","Finalizar Cola"
"Thank you for your subscription","Gracias por su suscripción"
"Save As","Guardar como"
"Save Newsletter","Guardar Noticias"
"Save Template","Guardar plantilla"
