"Year","Año"
"Action","Acción"
"Updated at","Actualizado en"
"Out of stock","Agotado"
"Add to Wishlist","Agregar a la Lista de deseos"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar para Comparar"
"Last Name","Apellidos"
"Applied Coupon","Aplicar Cupón"
"Items in Cart","Artículos en el Carrito"
"Items Ordered","Artículos Pedidos"
"Last Review","Última Revisión"
"Low stock","Bajas existencias"
"Rate","Calificar"
"Stock Qty","Cant. Existencia"
"Quantity of Items","Cantidad de Artículos"
"Quantity Ordered","Cantidad Pedida"
"Shopping Cart","Carrito de Compras"
"Carts","carritos"
"Abandoned carts","Carritos abandonados"
"Customer","Cliente"
"Customers","Clientes"
"Customers that have wishlist: %s%","Clientes con Lista de deseos: %s%"
"Customers by number of orders","clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers Reviews","Comentarios de Clientes"
"Products Reviews","Comentarios de Productos"
"Product Reviews","Comentarios de Productos"
"Bought from wishlists","Comprado desde la Lista de deseos"
"Purchases","Compras"
"Default Recently Compared Products count","Conteo Predeterminado de Productos Comparados Recientemente"
"Default Recently Viewed Products count","Conteo Predeterminado de Productos Vistos Recientemente"
"Created at","Creado en"
"CSV","CSV"
"New Accounts","Cuentas Nuevas"
"Coupons","Cupones"
"Day","Día"
"Downloads","Descargas"
"Discounts","Descuentos"
"Detail","Detalle"
"Tag Detail","Detalle de Etiqueta"
"Tag ""%s"" details","Detalles de ""%s"" Etiqueta"
"Email","E-Mail"
"Link","Enlace"
"Shipping","Envío"
"Submitted On","Enviado el"
"Submitted In","Enviado en"
"Tag","Etiqueta"
"Customers Tags","Etiquetas de Clientes "
"Products Tags","Etiquetas de Productos"
"Product Tags","Etiquetas de productos"
"Customer Tags","Etiquetas del Cliente"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tags submited by %s","Etiquetas enviadas por %s"
"Popular Tags","Etiquetas Populares"
"Excel","Excel"
"Invoiced","Facturada"
"Invalid date specified","Fecha especificada inválida"
"ID","ID"
"Tax","Impuestos"
"Customers Report","Informe de Clientes"
"Wishlist Report","Informe de Lista de deseos"
"Products Report","Informe de Productos"
"Sales Report","Informe de Ventas"
"Reports","Informes"
"Revenue","Ingresos"
"Guest","Invitado"
"Wishlists","Lista de deseos"
"Wishlist vs. Regular Order","Lista de deseos vs Pedido Normal"
"Bestsellers","Los más Vendidos"
"Most viewed","Más Vistos"
"Most Viewed","Más Vistos"
"Month","Mes"
"Tax Amount","Monto de los Impuestos"
"Show for Current","Mostrar por Actual"
"Number Added","Número Agregado"
"Number Fulfilled","Número cumplido"
"Number of Items","Número de artículos"
"Number of items bought from a wishlist: %s","Número de artículos comprados a una Lista de deseos: %s"
"Number of Reviews","Número de Comentarios"
"Number Of Reviews","Número de Comentarios"
"Number of wishlist conversions: %s","Número de conversiones de Lista de deseos: %s"
"Number of New Accounts","Número de Cuentas Nuevas "
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number of wishlists: %s","Número de Listas-Deseadas: %s"
"Number Purchased","Número de Ordenes de Compras"
"Number of Orders","Número de Pedidos"
"Number of Ivoiced Orders","Número de Pedidos Facturados"
"Number of Refunded Orders","Número de Pedidos Reembolsados"
"Number of wishlist referrals: %s","Número de referencias de Lista de deseos: %s"
"Number Of Uses","Número de Usos"
"Number Of Historical Uses","Número de Usos Históricos"
"Number of times deleted","Número de veces eliminado"
"Number of times wishlists have been shared (emailed): %s","Número de veces que la Lista de deseos se han compartido (por email) :%s"
"Number of Views","Número de Vistas"
"Number of Total Tags","Número total de Etiquetas"
"Number Viewed","Número Visto"
"Product Sku","No. Ref. (SKU) del Producto"
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de etiqueta"
"Customer Name","Nombre del Cliente"
"Product Name","Nombre del producto"
"Orders","Pedidos"
"Popularity","Popularidad"
"Price","Precio"
"Products","Productos"
"Products in carts","Productos en carritos"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed Products","Productos Recientemente Vistos"
"Recently Viewed/Compared Products","Productos Recientemente Vistos/Comparados"
"Products Sold","Products Sold"
"Avg. rating","Puntuación promedio"
"Avg. approved rating","Puntuación promedio aprovada"
"Refunded","Reembolso"
"Online Refunded","Reembolsos en línea"
"Offline Refunded","Reembolsos fuera de línea"
"Poducts Report","Reporte de Productos"
"Results","Resultados"
"Review","Revisión"
"Reviews","Revisiones"
"Reviews for %s","Revisiones para %s"
"Subtotal","Subtotal"
"Your Recently Compared","Sus Comparaciones Recientes"
"Search Terms","Términos de la búsqueda"
"Title","Título"
"Total","Total"
"Total Shipping","Total de envíos"
"Total Tags","Total de Etiquetas"
"Total Refunded","Total de Reembolsos"
"Total refunded","Total de reembolsos"
"Total Invoiced","Total facturado"
"Total invoiced","Total facturado"
"Total Invoiced Captured","Total facturado capturado"
"Total Invoiced not Captured","Total facturado sin capturar"
"Carrier/Method","Transportista/Método"
"Tag use","Uso de etiqueta"
"Your Recently Viewed","Usted Recientemente Vió"
"Sales","Ventas"
"Visible In","Visible en"
"Hits","Visitas"
