"%d Review(s)","%d Reseña(s)"
"%s Review(s)","%s Reseña(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Update status","Actualizar estado"
"Administrator","Administrador"
"Add New Review","Agregar nueva reseña"
"Add Your Review","Agregar su reseña"
"Nickname","Apodo"
"How do you rate this product?","¿Como evalúa este producto?"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Are you sure?","¿Está seguro?"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Average Customer Rating","Calificación promedio del cliente"
"Average Customer Rating:","Calificación promedio del cliente:"
"Rating:","Calificación:"
"Qty","Cant."
"Customer","Cliente"
"New Review","Comentario Nuevo"
"Created On","Creado en"
"Review Details","Detalles de la reseña"
"Delete","Eliminar"
"Delete Review","Eliminar reseña"
"Submit Review","Enviar reseña"
"Write Your Own Review","Escribe tu propia reseña"
"You're reviewing: %s","Esta usted revisando: %s"
"Status","Estatus"
"Detailed Rating","Evaluación Detallada"
"Manage Ratings","Gestión del Calificaciones"
"Save Review","Guardar reseña"
"ID","ID"
"Guest","Invitado"
"My Product Reviews","Mis reseñas de productos"
"My Recent Reviews","Mis reseñas recientes"
"Edit Review '%s'","Modificar Reseñas '%s'"
"Unable to post review. Please, try again later.","No fue posible enviar su reseña. Por favor, intente más tarde."
"SKU","No. Ref. (SKU)"
"Product SKU","No. Ref. (SKU) del producto"
"Name","Nombre"
"Product Name","Nombre del producto"
"Name In Store","Nombre en la tienda"
"Allow guests to write reviews","Permitir a invitados escribir comentarios"
"Please select a product","Por favor seleccione un producto"
"Please select one of each of the ratings above","Por favor seleccione una por una de las calificaciones de arriba"
"Price","Precio"
"Product","Producto"
"Posted By","Publicado por"
"Back","Regresar"
"Back to Main Product Info","Regresar a la información principal del producto"
"Back to Product Reviews","Regresar a las reseñas de los productos"
"Back to My Reviews","Regresar a Mis Reseñas"
"Review","Reseña"
"Product Reviews","Reseña del producto"
"Product Review (submitted on %s):","Reseña del producto (presentada en %s):"
"Review by %s","Reseña por %s"
"Customer Reviews","Reseñas del cliente"
"Pending reviews","Reseñas pendientes"
"Pending Reviews","Reseñas pendientes"
"Pending reviews of customer `%s`","Reseñas pendientes del cliente `%s`"
"Reviews and Ratings","Reseñas y Calificaciones"
"Summary Rating","Resumen de la calificación"
"Summary of Review","Resumen de la reseña"
"Summary of review","Resumen de la reseña"
"Summary of Your Review","Resumen de su reseña"
"Be the first to review this product","Sea el primero en realizar una reseña de este producto"
"Websites","Sitio Web"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su reseña (enviada el %s):"
"Your review has been accepted for moderation","Su reseña ha sido aceptada para la moderación"
"Title","Título"
"Type","Tipo"
"All Reviews","Todos los comentarios"
"All reviews of customer `%s`","Todos los comentarios `%s`"
"You have submitted no reviews.","Usted no ha escrito ninguna reseña."
"View Details","Ver detalles"
"View All Reviews","Ver todas las reseñas"
"Visible In","Visible en"
