" was not delivered nor scanned"," no fue entregado ni escudriñado"
"2Day","2días"
"2nd Day Air","2do Día Aéreo"
"2nd Day Air AM","2do Día Aéreo AM"
"2nd Day Air AM Letter","2do Día Aéreo AM Carta"
"2nd Day Air Letter","2do Día Aéreo Carta"
"To upper","A aumentar"
"To lower","A reducir"
"Dropoff","Abandono"
"Express Saver","Ahorro Express"
"Next Day Air","Al Día Siguiente Aéreo"
"Next Day Air Saver","Al Día Siguiente Aéreo Ahorro"
"Next Day Air Saver Letter","Al Día Siguiente Aéreo Ahorro Carta"
"Next Day Air Letter","Al Día Siguiente Aéreo Carta"
"Next Day Air Intra (Puerto Rico)","Al Día Siguiente Aéreo Intra (Puerto Rico)"
"Worldwide Expedited","Al Rededor del Mundo Acelerado"
"Worldwide Express","Al Rededor del Mundo Express"
"Worldwide Express Saver","Al Rededor del Mundo Express Ahorro"
"Worldwide Express Letter","Al Rededor del Mundo Express Carta"
"Worldwide Express Plus","Al Rededor del Mundo Express Plus"
"Worldwide Express Plus Letter","Al Rededor del Mundo Express Plus Carta"
"Default Package Height","Altura del Paquete Predeterminada"
"Default Package Width","Ancho del Paquete Predeterminada"
"Please make sure to use only digits here. No dashes are allowed.","Asegúrese de usar sólo dígitos aquí. Los guiones no están permitidos."
"Library","Biblioteca"
"Drop Box","Buzón"
"Flat-Rate Box","Caja de Tarifa Fija"
"FedEx Box","Caja FedEx"
"FedEx 10kg Box","Caja FedEx de 10kg"
"FedEx 25kg Box","Caja FedEx de 25kg"
"UPS Express Box","Caja UPS Express"
"Calculate Handling Fee","Calcular tarifa de tramitación"
"Canada Standard","Canadá Estándar"
"Minimum order amount for free shipping","Cantidad mínima de pedido para envíos gratis"
"Letter","Carta"
"UPS Letter Envelope","Carta Sobre UPS"
"Invalid UPS CGI code for type %s: %s","Código CGI de UPS inválido para el tipo %s: %s"
"Invalid UPS CGI code type: %s","Código CGI de UPS inválido tipo: %s"
"Invalid USPS XML code for type %s: %s","Código XML de USPS inválido para el tipo %s: %s"
