"%s was added to your shopping cart.","%s fue añadido a su carrito de compra."
"%s was updated in your shopping cart.","%s fue actualizado en su carrito de compra."
"&laquo; Back to Select Addresses","&laquo; Regresar a la Dirección Seleccionada"
"&laquo; Back to Billing Information","&laquo; Regresar a la Información de Facturación"
"&laquo; Back to Shopping Cart","&laquo; Regresar al carrito de compra"
"* Required Fields","* Campos requeridos"
"Add New Condition","Añadir condición nueva"
"Easy access to your order history and status","Acceso fácil a su historial de pedidos y su estatus"
"Update Qty &amp; Addresses","Actualizar Cant. y Direcciones"
"Update Shopping Cart","Actualizar carrito de	 compras"
"Update Total","Actualizar total"
"Add to Compare","Agregar a comparar"
"Add to Wishlist","Agregar a la lista de deseos"
"Add to Cart","Agregar al carrito"
"Add New Address","Agregar Dirección Nueva"
"Some of the products you requested are unavailable","Alguno de los productos que solicitó no están disponibles"
"Some of the products you requested are not available in the desired quantity","Algunos de los productos que ha solicitado no tienen la disponibilidad en número que ha solicitado"
"Content Height","Altura del Contenido"
"Content Height (css)","Altura del Contenido (css)"
"Recently added item(s)","Artículo(s) recientemente añandido(s)"
"Items","Artículos"
"Thank you for your purchase!","¡Gracias por su compra!"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de querer eliminar este Artículo del carrito de compra?"
"Already registered?","¿Está usted registrado?"
"Order Success","Éxito del pedido"
"Shopping Cart Sidebar","Barra lateral del Carrito de compra"
"Based on your selection, you may be interested in the following items:","Basados en su selección, tal vez le interesen los siguientes artículos:"
"Zip/Postal Code","C.P./Código postal"
"Street Address ","Calle "
"Change","Cambiar"
"Change Billing Address","Cambiar la dirección de cobro"
"Cancel Coupon","Cancelar cupón"
"Qty","Cantidad"
"Loading next step...","Cargando el siguiente paso..."
"Shopping Cart","Carrito de compra"
"Discount Codes","Códigos de descuento"
"Close","Cerrar"
"Checkbox text","Checkbox texto"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clic <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia de su confirmación de pedido."
"Company","Compañía"
"Fast and easy check out","Compra Fácil y rápida"
"Checkout as Guest","Comprar como  invitado"
"Checkout with Multiple Addresses","Comprar y pagar con múltiples direcciones"
"New Condition","Condición Nueva"
"Checkout Conditions","Condiciones de pago"
"Terms and Conditions","Condiciones y Términos"
"Terms and conditions","Condiciones y Términos"
"Checkout Terms and Conditions","Condiciones y Términos de Pago"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar con la información de cobro"
"Continue to Shipping Information","Continuar con la información de compra"
"Continue to Review Your Order","Continuar revisando su pedido"
