"* Select shipping method","* Seleccionar Método de Envío"
"Add","Añadir"
"Add Shipping Method","Añadir Método de Envío"
"Default Package Height (in)","Altura del Paquete Predeterminada (pulg)"
"Default Package Width (in)","Ancho del Paquete Predeterminado (pulg)"
"Virtual item to reflect discount total","Artículo virtual para reflejar el descuento total"
"Google Authorization:","Autorización de Google:"
"AVS Status: %s","AVS Estatus: %s"
"Remove","Borrar"
"Sandbox","Caja de arena"
"Google order status change:","Cambio del estatus del pedido de Google:"
"Amount: %s","Cantidad: %s"
"Google Charge:","Cargos de Google:"
"Total Charged: %s","Cargos totales: %s"
"Delivery Address Category","Categoría de Dirección de Entrega"
"Google Checkout Shipping - Merchant Calculated","Cálculo de envío - negociante deGoogle Checkout"
"Google Checkout Shipping - Carrier Calculated","Cálculo de envío - transporte de Google Checkout "
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"CID Status: %s","CID Estatus: %s"
"Fulfillment: %s -> %s","Cumplimiento: %s -> %s"
"Delivery schedule","Delivery schedule"
"Debug","Depurar"
"Cart Discount","Descuento del carrito"
"IP Address: %s","Dirección IP: %s"
"Buyer account age: %s days","Edad de la cuenta del comprador: %s días"
"Latest Charge: %s","El último cargo: %s"
"Latest Refund: %s","El último reembolso: %s"
"Eligible for protection: %s","Elegible para protección: %s"
"Enable Digital Delivery","Enable Digital Delivery"
"Free Shipping","Envío Gratuito"
"Google Checkout Shipping - Flat Rate","Envio - Tarifa Fija de Google Checkout"
"United States","Estados Unidos"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Está el Comprados Dispuesto a Recibir E-Mails de Publisitarios: %s"
"Checkout Image Style","Estilo de la imagen de Pago"
"Invoice auto-created: %s","Factura creada automáticamante: %s"
"Financial: %s -> %s","Financiera: %s -> %s"
"White Background","Fondo Blanco"
"Auto-generated from GoogleCheckout Charge","Generar automaticamente el cargo desde GoogleCheckout"
"Google API","Google API"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout: %s","Google Checkout: %s"
"Large - %s","Grande - %s"
"Enable","Habilitado"
"Enable this if your checkout request is too big and being cut off.","Habilitar esto si su solicitud de pago es muy grande y es cortada."
"Enable Merchant Calculated","Habilitar Mercante Calculado"
"Enable Flat Rate","Habilitar Tarifas Fijas"
"Enable Carrier Calculated","Habilitar Transporte Calculado"
"Google Buyer Id: %s","Id de comprador Google: %s"
"Merchant ID","Id del negociante"
"Google Risk Information:","Información de Riesgo Google:"
"Default Package Length (in)","Largo del Paquete Predeterminado (pulg)"
"Merchant Key","Llave el negociante"
"Carrier Calculated Methods","Métodos de Transporte Calculado"
"Default price for methods","Métodos para precios determinados"
"Allowed Methods","Métodos Permitidos"
"Medium - %s","Mediano - %s"
"Method","Method"
"Google Order Number: %s","Número de pedido Google: %s"
"No","No"
"New order status","Nuevo estatus del pedido"
"Hide Cart Contents During Checkout","Ocultar los contenidos del carrito durante el pago"
"Optional, leave empty for home page.","Opcional, deje vacio para la página de inicio."
"Small - %s","Pequeña - %s"
"Default price:","Precio predeterminado:"
"Google Refund:","Reembolso Google:"
"Total Refunded: %s","Reembolsos totales: %s"
"United Kingdom","Reino Unido"
"Required for live Google Checkout transactions.","Requerido para Google Checkout en vivo transacciones."
"Secure Callback URL","Segura Callback URL"
"You will be redirected to GoogleCheckout in a few seconds.","Será redireccionado a GoogleCheckout en pocos segundos."
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Si habilitado, el contenido del carrito será ocultado sobre el botón de Google Checkout en el carrito de compra, y restaurado si el enlace de ""Modificar Carrito"" fue activado."
"Disable Default Tax Tables","Tablas de Impuestos Predeterminados Inhabilitada"
"Rate 1 Amount","Tarifa 1 Cantidad"
"Rate 1 Ship To Applicable Countries","Tarifa 1 Enviar a Países Aplicables"
"Rate 1 Ship to Specific Countries","Tarifa 1 Enviar a Países Específicos"
"Rate 1 Title","Tarifa 1 Título"
"Rate 2 Amount","Tarifa 2 Cantidad"
"Rate 2 Ship To Applicable Countries","Tarifa 2 Enviar a Países Aplicables"
"Rate 2 Ship to Specific Countries","Tarifa 2 Enviar a Países Específicos"
"Rate 2 Title","Tarifa 2 Título"
"Rate 3 Amount","Tarifa 3 Cantidad"
"Rate 3 Ship To Applicable Countries","Tarifa 3 Enviar a Países Aplicables"
"Rate 3 Ship to Specific Countries","Tarifa 3 Enviar a Países Específicos"
"Rate 3 Title","Tarifa 3 Título"
"Transparent","Transparente"
"Location","Ubicación"
"Continue Shopping URL","URL continuar comprando"
"Expiration: %s","Vencimiento: %s"
