"Authorize Only"," 	Sólo autorizar"
"Merchant Login","Acceso del comerciante"
"Payment Action","Acción de Pago"
"Enabled","Activado"
"API Login ID","API del ID de Registro"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autorizar y Capturar"
"Invalid amount for authorization","Cantidad de autorización inválida"
"Invalid amount for authorization.","Cantidad de autorización inválida."
"Password","Contraseña"
"Email customer","Correo electrónico del cliente"
"Debug","Depurar"
"Payment from applicable countries","El pago desde países aplicables"
"Payment from Specific countries","El pago desde países específicos"
"Merchant's email","Email del comerciante"
"Payment authorization error.","Error de autorización del pago."
"Gateway request error: %s","Error de solicitud de la Pasarela: %s"
"Error in refunding the payment","Error en el reembolso del pago"
"Error in authorizing the payment","Error en la autorización el pago"
"Error in capturing the payment","Error en la captura de pago"
"Error in payment gateway","Error en la pasarela de pagos"
"Error in retrieving the transaction","Error en la recuperación de la transacción"
"Error in refunding the payment.","Error en la reembolso del pago."
"Fraud order status","Estatus del pedido fraudulento"
"New order status","Estatus del Pedido Nuevo"
"Invalid transaction id","ID de transacción inválido"
"Payment authorization transaction has been declined.","La transacción de autorización del pago ha sido rechazada."
"Test mode","Modo de prueba"
"TENDER","OFERTA"
"Sort order","Ordenar Pedido"
"Payflow Pro","Payflow Pro"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Partner","Socio"
"Title","Título"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Minimum Order Total","Total Máximo de Pedido"
"Maximum Order Total","Total Máximo de Pedido"
"Voided transaction","Transacción anulada"
"Transaction key","Transacción clave"
"URL","URL"
"Use Proxy","Usar Proxy"
"User","Usuario"
"VERBOSITY","VERBOSIDAD"
"Credit Card Verification","Verificación de Tarjetas de Crédito"
