"%s - Special Discounts","%s - Descuentos especiales"
"%s - Discounts and Coupons","%s - Descuentos y Cupones"
"%s has reached a quantity of %s.","%s ha alcanzado la cantidad de  %s."
"%s RSS Feed","%s RSS Feed"
"Catalog","Catálogo"
"Top Level Category","Categoría de nivel superior"
"Category Feeds","Categoría Feeds"
"Comment: %s<br/>","Comentario: %s<br/>"
"Purchased From: %s","Comprado desde: %s"
"Rss Config","Configuración Rss"
"Coupons/Discounts","Cupones/Descuentos"
"click <a href=""%s"">here</a> to view the review","De clic <a href=""%s"">aquí</a> para visualizar su reseña"
"From:","De:"
"Discount ","Descuento "
"Details for %s #%s","Detalles para %s #%s"
"Shipping & Handling","Envio y manejo"
"Error in processing xml. %s","Error al procesar xml. %s"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Tags Products","Estiquetas de productos"
"Low Stock Products","Existencia baja de productos"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"Grand Total","Gran Total"
"Enable RSS","Habilitar RSS"
"Tax","Impuesto"
"Wishlist","Lista de deseos"
"%s's Wishlist","Lista de deseos %s"
"Gift Message","Mensaje de regalo"
"Message:","Mensaje:"
"Miscellaneous Feeds","Miscelanea Feeds"
"There are no Rss Feeds","No hay Rss Feeds"
"There are no Rss Feeds.","No hay Rss Feeds."
"Cannot retrieve the wishlist","No se puedo obtener la lista de deseos"
"Customer Name: %s","Nombre del cliente: %s"
"Customer Order Status Notification","Notificación del estatus del pedido del cliente"
"Order # %s Notification(s)","Notificación del pedido # %s "
"Get Feed","Obtener Feed"
"To:","Para:"
"Order #%s created at %s","Pedido #%s creado en %s"
"New Orders","Pedidos Nuevos"
"Product: ""%s"" review By: %s","Producto: ""%s"" revisado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Special/Discount Products","Productos con Descuento/Especiales"
"Special Products","Productos especiales"
"Products tagged with %s","Productos etiquetados con %s"
"New Products","Productos nuevos"
"New Products from %s","Productos nuevos desde %s"
"RSS testing","Prueba de RSS"
"Review: %s <br/>","Reseña: %s <br/>"
"Pending product review(s)","Reseñas de productos pentiendes"
"Summary of review: %s <br/>","Resumen de la reseña: %s <br/>"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"Rss Feeds Section","Sección Rss Feeds"
"Subtotal","Sub-total"
"Store: %s <br/>","Tienda: %s <br/>"
"Total Products: %s","Total de Productos: %s"
"Total: %s<br/>","Total: %s<br/>"
