"%s is not supported currency.","%s no es una divisa soportada."
"Undetermined email action","Acción indefinida de e-mail"
"Accept","Aceptar"
"Enable email verification","Activar el correo electrónico de verificación"
"Enable US address verification","Activar la verificación de dirección para EUA"
"Enable global address verification","Activar la verificación de direcciones globales"
"Enable foreign exchange rate","Activar tipo de cambio"
"Enable sales and use tax","Activar ventas y uso de impuestos"
"Pop up warning and accept","Aparecer ventana en el navegador (Pop up) de advertencia y de aceptar"
"Basic","Básico"
"Product Tax Class","Clase de Impuesto de producto"
"Complete","completo"
"Verify address in admin","Compruebe la dirección en administración"
"Strikeiron Config","Configuración de Strikeiron"
"Password","Contraseña"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Invalid email address","dirección de correo electrónico inválida"
"Strikeiron foreign exchange rate is disabled","El tipo de cambio Strikeiron está desactivado"
"Error Email Recipient","Error de E-mail del Destinatario"
"Error address action","Error de la acción de dirección"
"Error Email Sender","Error en el Email de Envío"
"There is an error in retrieving tax rate. Please contact us","Hay un error en la recuperación del tipo de impuesto. Póngase en contacto con nosotros"
"There is an error in verifying an email. Please contact us.","Hay un error en la verificación de un mensaje de correo electrónico. Por favor, contacte con nosotros."
"User ID","ID de Usuario"
"Customer Tax Class","Impuesto al cliente"
"Sales and Use Tax","Impuesto sobre Ventas y Uso"
"Tax","Impuestos"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","La dirección de correo electrónico no puede ser verificada. Por favor, compruebe de nuevo y asegúrese de que su dirección de correo electrónico haya sido introducida correctamente."
"Maximum tax rate","La tasa máximo de impuestos"
"Minimum tax rate","La tasa mínima de impuestos"
"Check all email servers","Marque todos los servidores de E-mail"
"There is no response back from Strikeiron server","No hay respuesta desde el servidor Strikeiron"
"There is no more hits remaining for the foreign Exchange Rate Service.","No quedan más visitas para el servicio de tipo de cambio."
"Cannot retrieve rate from %s to %s","No se puede recuperar la tasa de %s a %s"
"Cannot retreive rate from strikeirion.","No se puede recuperar la tasa de strikeiron."
"Error Email Template","Plantilla de error de E-mail"
"Reject","Rechazar"
"Strikeiron Section","Sección Strikeiron"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo esta completo y el código postal pertenece a varias tasa de impuestos, optar por cobrar el impuesto mínima o el máximo."
"Strikeiron","Strikeiron"
"Sales and Use Tax Type","Tipo de Impuesto sobre Ventas y Uso "
"Foreign Exchange Rates","Tipos de cambio"
"Use","Uso"
"US Address Verification","Verificación de Dirección de EUA"
"Email Verification","Verificación de E-mail"
"Global Address Verification","Verificación de la dirección global"
"Verify email in admin","Verificar E-mail en administración"
