"(eg: domain.com/identifier)","(ej: dominio.mx/identificador)"
"Action","Acción"
"Layout Update XML","Actualizar Formato XML"
"Poll Manager","Administrador de encuestas"
"Manage Pages","Administrar páginas"
"Add New Block","Agregar un nuevo Bloque"
"Add New Page","Agregar una nueva página"
"Block Information","Bloque de información"
"Block Title","Bloque de Título"
"Block was successfully deleted","Bloque eliminado"
"Block was successfully saved","Bloque guardado"
"New Block","Bloque Nuevo"
"Static Blocks","Bloques estáticos"
"Delete Block","Borrar Bloque"
"Delete Page","Borrar Página"
"CMS","CMS"
"Content","Contenido"
"Description","Descripción"
"Custom Design","Diseño personalizado"
"Page Identifier cannot consist only of numbers.","El identificador de la página no puede conformarse solo por números."
"Such a block identifier in selected store already exist.","El identificador ya existe en la tienda seleccionada."
"This page no longer exists","Esta Página ya no existe"
"Status","Estatus"
"Page Status","Estatus de la página"
"This block no longer exists","Este Bloque ya no existe"
"Date Created","Fecha de creación"
"Layout","Formato"
"Save Block","Guardar Bloque"
"Save Page","Guardar Página"
"Store View","Guardar Vista"
"Enabled","Habilitado"
"Identifier","Identificador"
"SEF URL Identifier","Identificador SEF URL"
"Product Tax Class Information","Información de Impuestos del Producto"
"Page Information","Información de la página"
"General Information","Información General"
"Customer Tax Class Information","Información sobre impuestos del cliente"
"Disabled","Inhabilitado"
"Home","Inicio"
"Go to Home Page","Ir a página de inicio"
"The page you are trying to save no longer exists","La página que trata de guardar ya no existe"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripción"
"Meta Keywords","Meta Palabras Clave"
"Edit Block","Modificar Bloque"
"Edit Block '%s'","Modificar Bloque '%s'"
"Edit Page","Modificar Página"
"Edit Page '%s'","Modificar Página '%s'"
"Show breadcrumbs for CMS pages","Mostrar Hilo  en páginas de CMS"
"Unable to find a block to delete","No es posible encontrar un Bloque para eliminar"
"Unable to find a page to delete","No se encontró una página para eliminar"
"Keywords","Palabras clave"
"CMS Home Page","Página de Inicio CMS"
"Page was successfully deleted","Página eliminada"
"Page was successfully saved","Página guardada"
"New Page","Página Nueva"
"CMS No Route Page","Página sin ruta CMS"
"Title","Título"
"Page Title","Título de página"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado de"
"Custom Theme To","Tema personalizado para"
"All countries","Todos los países"
"Last Modified","Ultima modificación"
"Page Identifier for specified store already exist.","Ya existe un Identificador de Página en este elemento."
