"* Required Fields","* Campo Requerido"
"Enable Contact Us","Activar Contáctenos"
"Comment","Comentario"
"Contacts","Contactos"
"Contact Us","Contáctenos"
"Email","Correo electrónico"
"Submit","Enviar"
"Send Emails To","Enviar mensajes a"
"Contact Form","Formulario de Contacto"
"Contact Information","Información de Contacto"
"Unable to submit your request. Please, try again later","No se puede enviar su solicitud. Por favor, inténtelo de nuevo más tarde"
"Name","Nombre"
"Email Options","Opciones de correo electrónico"
"Email Template","Plantilla de Email"
"Email Sender","Remitente del Email"
"Contacts Section","Sección de Contactos"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su solicitud fue enviada y será respondida tan pronto como sea posible. Gracias por contactarnos."
"Telephone","Teléfono"
