"Add to Google Base","Añadir a Google Base"
"Add New Attribute","Añadir Atributo Nuevo"
"Add Attribute Mapping","Añadir Mapeo de Atributo"
"Active","Activo"
"Update Google Base item when product is updated","Actualizar artículo Google Base cuando el producto sea actualizado"
"Current Mapping will be reloaded. Continue?","Al mapeo actual será recargado ¿Continua?"
"Germany","Alemánia"
"Items","Artículos"
"Google Base Items","Artículos Google Base"
"Attribute","Atributo"
"Attribute Set","Atributo Colocado"
"Attribute Set and Item Type","Atributo Colocado y Tipo de Artículo"
"Google Base Attribute","Atributo Google Base"
"Custom attribute, no mapping","Atributo personalizado, sin mapear"
"Attributes","Atributos"
"Attributes Set","Atributos Colocados"
"Attributes mapping","Atributos mapeados"
"AuthSub","AuthSub"
"Are you sure?","¿Está seguro?"
"Remove","Borrar"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmed successfully","Captcha confirmado exitosamente"
"Clicks","Clic"
"Confirm","Confirmar"
"Account password","Contraseña de la cuenta"
"Object model is not specified to save Google Base entry","El modelo de objeto no esta especificado para guardar entradas de Google Base"
"Item model is not specified to delete Google Base entry","El modelo del artículo no se especifico para eliminar la entrada de Google Base"
"Item type was successfully saved","El tipo de artículo fue guardado exitosamente"
"Delete","Eliminar"
"Delete Mapping","Eliminar Mapeo"
"Captcha confirmation error: %s","Error Captcha de confirmación: %s"
"Error: %s","Error: %s"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará estadísticas de artículos y eliminará artículos que no estén disponibles en Google Base. ¿Continuar?"
"United States","Estados Unidos"
"Euro","Euro"
"Expires","Expira"
"Manage Items","Gestión de Artículos"
"Manage Attributes","Gestión de Atributos"
"Manage Attribute Mapping","Gestión del mapeo del artículo"
"Google Base","Google Base"
"Save Mapping","Guardar mapeo"
"Google Base ID","ID de Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Imposible de conectarse a Google Base. Revisar la configuración de la cuenta en configuración."
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de producto inválido para artículo de Google Base"
"Edit Item Type","Modificar tipo de artículo"
"Edit Item Type ""%s""","Modificar tipo de artículo ""%s"""
"No items were deleted from Google Base","Ningún artículo fue eliminado de Google Base"
"No items were saved as Inactive items","Ningún artículo fue guardado como artículo inactivo"
"No items were published","Ningún artículo fue publicado"
"No products were added to Google Base","Ningún producto fue añadido a Google Base"
"No","No"
"Product Name","Nombre del producto"
"Hide","Ocultar"
"Target Country","País objetivo"
"Available Products","Productos Disponibles"
"Published","Publicado"
"Publish","Publicar"
"Account login","Registro de Cuenta"
"ClientLogin","Registro del Cliente"
"United Kingdom","Reino Unido"
"Yes","Sí"
"Please, select Attribute Set and Google Item Type to load attributes","Seleccione atríbuto colocado y tipo de artículo Google para cargar atributos"
"Synchronize","Sincronizar"
"Default Store (%s)","Tienda predeterminada (%s)"
"Item Type was deleted","Tipo de artículo fue eliminado"
"Google Base Item Type","Tipo de artículo Google Base"
"Google Base Item type","Tipo de artículo Google Base"
"New Item Type","Tipo de artículo nuevo"
"Item Types","Tipos de artículos"
"Total of %d product(s) were successfully added to Google Base","Total de %d artículo(s) ha(n) sido añadidos a Google Base"
"Total of %d items(s) were successfully removed from Google Base","Total de %d artículo(s) ha(n) sido borrados de Google Base"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total de %d artículo(s) ha(n) sido eliminado exitosamente, Total de %d artículo(s) ha(n) sido actualizados exitosamente"
"Total of %d items(s) were successfully saved as Inactive items","Total de %d artículo(s) ha(n) sido guardados como artículos inactivos"
"Total of %d items(s) were successfully published","Total de %d artículo(s) ha(n) sido públicados exitosamente"
"US Dollar","US Dollar"
"View Item in Google Base","Ver artículo en Google Base"
"View Available Products","Ver Productos Disponibles"
"Page views","Vistas de página"
