"Add Sitemap","Añadir Mapa del sitio"
"Action","Acción"
"Sitemap generate Warnings","Advertencias generadas por el Mapa del sitio"
"Yearly","Anual"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Archivo ""%s"" no puede ser guardado. Asegúrese que el directirio ""%s"" tenga permisos de escritura por el servidor web."
"Please make sure that ""%s"" is writable by web-server.","Asegúrese que ""%s"" tenga permisos de escritura por el servidor web."
"Last Time Generated","Última Vez que fue denerado"
"Hourly","Cada Hora"
"Generation Settings","Configuracines de Generación"
"Please create the specified folder ""%s"" before saving the sitemap.","Crear el folder especificado ""%s"" antes de guardar el mapa del sitio por favor."
"Please define correct path","Defina la ruta correcta por favor"
"Daily","Diariamente"
"Sitemap was successfully deleted","El mapa del sitio fue eliminado exitosamente"
"Sitemap was successfully saved","El mapa del sitio se ha guardado exitosamente"
"Link for Google","Enlace para Google"
"Error Email Recipient","Error, Email del Destinatario"
"Error Email Sender","Error, Email del Remitente"
"This sitemap no longer exists","Este mapa del sitio ya no existe"
"Frequency","Frecuencia"
"Generate","Generar"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"ID","ID"
"Unable to find a sitemap to generate","Imposible encontrar in mapa de sitio para generar"
"Unable to generate a sitemap","Imposible generar un Mapa de Sitio"
"Priority must be between 0 and 1","La prioridad debe estar entre 0.0 y 1.0"
"Sitemap ""%s"" has been successfully generated","Mapa de Sitio ""%s"" se ha generado satisfactoriamente"
"Google Sitemap","Mapa de Sitio (Sitemap) de Google"
"Sitemap","Mapa del Sitio"
"New Sitemap","Mapa del sitio Nuevo"
"Monthly","Mensual"
"Edit Sitemap","Modificar Mapa del sitio"
"Unable to find a sitemap to delete","No se puede encontrar un mapa del sitio para eliminar"
"Filename","Nombre de archivo"
"Never","Nunca"
"Categories Options","Opciones de las categorías"
"CMS Pages Options","Opciones de las Páginas CMS "
"Products Options","Opciones de Productos"
"Error Email Template","Plantilla de Error de Email"
"Priority","Prioridad"
"Valid values range from 0.0 to 1.0","Rango de valores válido desde 0.0 a 1.0"
"Path","Ruta"
"Google Sitemap Section","Sección de Mapa de Sitio Google"
"Weekly","Semanal"
"Always","Siempre"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Utilizar únicamente letras (a-z o A-Z), números (0-9) o guión bajo (_) en el archivo. Ni espacios u otros caractéres estan permitidos."
"Store View","Vista de la tienda"
