País,Estado/Región,"C.P./Código Postal","Subtotal del Pedido (y superior)","Precio del envío"
MEX,*,1000,7.0000,2922.0000
MEX,*,10000,6.0000,2922.0000
MEX,*,10010,6.0000,2922.0000
MEX,*,10020,6.0000,2922.0000
MEX,*,1010,7.0000,2922.0000
MEX,*,10100,6.0000,2922.0000
MEX,*,10110,6.0000,2922.0000
MEX,*,10130,6.0000,2922.0000
MEX,*,1020,7.0000,2922.0000
MEX,*,10200,6.0000,2922.0000
MEX,*,10210,6.0000,2922.0000
MEX,*,1028,7.0000,2922.0000
MEX,*,1029,7.0000,2922.0000
MEX,*,10290,6.0000,2922.0000
MEX,*,1030,7.0000,2922.0000
MEX,*,10300,6.0000,2922.0000
MEX,*,10309,6.0000,2922.0000
MEX,*,10320,6.0000,2922.0000
MEX,*,10330,6.0000,2922.0000
MEX,*,10340,6.0000,2922.0000
MEX,*,10350,6.0000,2922.0000
MEX,*,10360,6.0000,2922.0000
MEX,*,10368,6.0000,2922.0000
MEX,*,10369,6.0000,2922.0000
MEX,*,10370,0.0000,2922.0000
MEX,*,10378,7.0000,2922.0000
MEX,*,10379,7.0000,2922.0000
MEX,*,10380,7.0000,2922.0000
MEX,*,1040,7.0000,2922.0000
MEX,*,10400,7.0000,2922.0000
MEX,*,1048,7.0000,2922.0000
MEX,*,1049,7.0000,2922.0000
MEX,*,1050,7.0000,2922.0000
MEX,*,10500,7.0000,2922.0000
MEX,*,10508,7.0000,2922.0000
MEX,*,10509,7.0000,2922.0000
MEX,*,10580,7.0000,2922.0000
MEX,*,10589,7.0000,2922.0000
MEX,*,1060,7.0000,2922.0000
MEX,*,10600,7.0000,2922.0000
MEX,*,10610,7.0000,2922.0000
MEX,*,10620,7.0000,2922.0000
MEX,*,10630,0.0000,2922.0000
MEX,*,10640,0.0000,2922.0000
MEX,*,10640,9.0000,2922.0000
MEX,*,10650,9.0000,2922.0000
MEX,*,10660,9.0000,2922.0000
MEX,*,1070,7.0000,2922.0000
MEX,*,10700,9.0000,2922.0000
MEX,*,10710,9.0000,2922.0000
MEX,*,10720,0.0000,2922.0000
MEX,*,10730,0.0000,2922.0000
MEX,*,10740,0.0000,2922.0000
MEX,*,1080,7.0000,2922.0000
MEX,*,10800,0.0000,2922.0000
MEX,*,10810,2.0000,2922.0000
MEX,*,10820,2.0000,2922.0000
MEX,*,10830,2.0000,2922.0000
MEX,*,10840,2.0000,2922.0000
MEX,*,1089,7.0000,2922.0000
MEX,*,1090,7.0000,2922.0000
MEX,*,10900,2.0000,2922.0000
MEX,*,10910,2.0000,2922.0000
MEX,*,10920,2.0000,2922.0000
MEX,*,10926,2.0000,2922.0000
MEX,*,1100,7.0000,2922.0000
MEX,*,11000,2.0000,2922.0000
MEX,*,11009,2.0000,2922.0000
MEX,*,11040,2.0000,2922.0000
MEX,*,1109,7.0000,2922.0000
MEX,*,1110,7.0000,2922.0000
MEX,*,11100,0.0000,2922.0000
MEX,*,11109,0.0000,2922.0000
MEX,*,1116,7.0000,2922.0000
MEX,*,1120,0.0000,2922.0000
MEX,*,1120,7.0000,2922.0000
MEX,*,11200,0.0000,2922.0000
MEX,*,11209,0.0000,2922.0000
MEX,*,11210,0.0000,2922.0000
MEX,*,11219,0.0000,2922.0000
MEX,*,11220,0.0000,2922.0000
MEX,*,11230,0.0000,2922.0000
MEX,*,11239,0.0000,2922.0000
MEX,*,11240,3.0000,2922.0000
MEX,*,1125,8.0000,2922.0000
MEX,*,11250,3.0000,2922.0000
MEX,*,11259,3.0000,2922.0000
MEX,*,11260,3.0000,2922.0000
MEX,*,11270,3.0000,2922.0000
MEX,*,11280,3.0000,2922.0000
MEX,*,11289,3.0000,2922.0000
MEX,*,11290,3.0000,2922.0000
MEX,*,1130,8.0000,2922.0000
MEX,*,11300,3.0000,2922.0000
MEX,*,11310,3.0000,2922.0000
MEX,*,11311,0.0000,2922.0000
MEX,*,11320,0.0000,2922.0000
MEX,*,11320,3.0000,2922.0000
MEX,*,11330,3.0000,2922.0000
MEX,*,11340,3.0000,2922.0000
MEX,*,11350,3.0000,2922.0000
MEX,*,11360,3.0000,2922.0000
MEX,*,11370,3.0000,2922.0000
MEX,*,11379,3.0000,2922.0000
MEX,*,1139,8.0000,2922.0000
MEX,*,1140,8.0000,2922.0000
MEX,*,11400,3.0000,2922.0000
MEX,*,11410,3.0000,2922.0000
MEX,*,11420,3.0000,2922.0000
MEX,*,11430,3.0000,2922.0000
MEX,*,11440,0.0000,2922.0000
MEX,*,11440,3.0000,2922.0000
MEX,*,11450,4.0000,2922.0000
MEX,*,11460,4.0000,2922.0000
MEX,*,11470,4.0000,2922.0000
MEX,*,11479,0.0000,2922.0000
MEX,*,11480,4.0000,2922.0000
MEX,*,11489,4.0000,2922.0000
MEX,*,11490,4.0000,2922.0000
MEX,*,1150,8.0000,2922.0000
MEX,*,11500,4.0000,2922.0000
MEX,*,11501,5.0000,2922.0000
MEX,*,11510,5.0000,2922.0000
MEX,*,11511,5.0000,2922.0000
MEX,*,11520,5.0000,2922.0000
MEX,*,11529,5.0000,2922.0000
MEX,*,11530,5.0000,2922.0000
MEX,*,11540,5.0000,2922.0000
MEX,*,11550,5.0000,2922.0000
MEX,*,11560,5.0000,2922.0000
MEX,*,11580,5.0000,2922.0000
MEX,*,11587,5.0000,2922.0000
MEX,*,1159,8.0000,2922.0000
MEX,*,11590,5.0000,2922.0000
MEX,*,1160,8.0000,2922.0000
MEX,*,11600,5.0000,2922.0000
MEX,*,11610,5.0000,2922.0000
MEX,*,11619,5.0000,2922.0000
MEX,*,11640,5.0000,2922.0000
MEX,*,11649,5.0000,2922.0000
MEX,*,11650,5.0000,2922.0000
MEX,*,1170,8.0000,2922.0000
MEX,*,11700,5.0000,2922.0000
MEX,*,1180,8.0000,2922.0000
MEX,*,11800,5.0000,2922.0000
MEX,*,11810,5.0000,2922.0000
MEX,*,11820,5.0000,2922.0000
MEX,*,11830,5.0000,2922.0000
MEX,*,1184,0.0000,2922.0000
MEX,*,11840,5.0000,2922.0000
MEX,*,11850,5.0000,2922.0000
MEX,*,11860,5.0000,2922.0000
MEX,*,11869,5.0000,2922.0000
MEX,*,11870,5.0000,2922.0000
MEX,*,11910,5.0000,2922.0000
MEX,*,11920,5.0000,2922.0000
MEX,*,11930,5.0000,2922.0000
MEX,*,11950,5.0000,2922.0000
MEX,*,1200,9.0000,2922.0000
MEX,*,12000,0.0000,2922.0000
MEX,*,12000,5.0000,2922.0000
MEX,*,12000,6.0000,2922.0000
MEX,*,12009,6.0000,2922.0000
MEX,*,12070,6.0000,2922.0000
MEX,*,12080,6.0000,2922.0000
MEX,*,1209,9.0000,2922.0000
MEX,*,1210,9.0000,2922.0000
MEX,*,12100,6.0000,2922.0000
MEX,*,12110,6.0000,2922.0000
MEX,*,1219,9.0000,2922.0000
MEX,*,1220,9.0000,2922.0000
MEX,*,12200,0.0000,2922.0000
MEX,*,12200,7.0000,2922.0000
MEX,*,12250,7.0000,2922.0000
MEX,*,1230,9.0000,2922.0000
MEX,*,12300,7.0000,2922.0000
MEX,*,1239,9.0000,2922.0000
MEX,*,1240,9.0000,2922.0000
MEX,*,12400,7.0000,2922.0000
MEX,*,12410,7.0000,2922.0000
MEX,*,1250,9.0000,2922.0000
MEX,*,12500,7.0000,2922.0000
MEX,*,1259,9.0000,2922.0000
MEX,*,1260,0.0000,2922.0000
MEX,*,1260,9.0000,2922.0000
MEX,*,12600,7.0000,2922.0000
MEX,*,1269,0.0000,2922.0000
MEX,*,1270,0.0000,2922.0000
MEX,*,12700,7.0000,2922.0000
MEX,*,1275,0.0000,2922.0000
MEX,*,1276,0.0000,2922.0000
MEX,*,1278,0.0000,2922.0000
MEX,*,1279,0.0000,2922.0000
MEX,*,1280,0.0000,2922.0000
MEX,*,1280,7.0000,2922.0000
MEX,*,12800,7.0000,2922.0000
MEX,*,1285,8.0000,2922.0000
MEX,*,1289,8.0000,2922.0000
MEX,*,1290,8.0000,2922.0000
MEX,*,12910,7.0000,2922.0000
MEX,*,12920,7.0000,2922.0000
MEX,*,12930,7.0000,2922.0000
MEX,*,12940,7.0000,2922.0000
MEX,*,12950,7.0000,2922.0000
MEX,*,1296,8.0000,2922.0000
MEX,*,1298,8.0000,2922.0000
MEX,*,1299,8.0000,2922.0000
MEX,*,13000,7.0000,2922.0000
