País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,24100,0,2922
MEX,*,24108,0,2922
MEX,*,24109,0,2922
MEX,*,24110,0,2922
MEX,*,24114,0,2922
MEX,*,24115,0,2922
MEX,*,24116,0,2922
MEX,*,24117,0,2922
MEX,*,24118,0,2922
MEX,*,24119,0,2922
MEX,*,24120,0,2922
MEX,*,24129,0,2922
MEX,*,24130,0,2922
MEX,*,24139,0,2922
MEX,*,24140,0,2922
MEX,*,24150,0,2922
MEX,*,24153,0,2922
MEX,*,24154,0,2922
MEX,*,24155,0,2922
MEX,*,24156,0,2922
MEX,*,24157,0,2922
MEX,*,24158,0,2922
MEX,*,24160,0,2922
MEX,*,24166,0,2922
MEX,*,24167,0,2922
MEX,*,24169,0,2922
MEX,*,24170,0,2922
MEX,*,24178,0,2922
MEX,*,24179,0,2922
MEX,*,24180,0,2922
MEX,*,24185,0,2922
MEX,*,24186,0,2922
MEX,*,24187,0,2922
MEX,*,24188,0,2922
MEX,*,24189,0,2922
MEX,*,24190,0,2922
MEX,*,24195,0,2922
MEX,*,24197,0,2922
MEX,*,24198,0,2922
MEX,*,24199,0,2922
MEX,*,24300,0,2922
MEX,*,24304,0,2922
MEX,*,24307,0,2922
MEX,*,24310,0,2922
MEX,*,24313,0,2922
MEX,*,24314,0,2922
MEX,*,24315,0,2922
MEX,*,24316,0,2922
MEX,*,24317,0,2922
MEX,*,24320,0,2922
MEX,*,24323,0,2922
MEX,*,24324,0,2922
MEX,*,24325,0,2922
MEX,*,24326,0,2922
MEX,*,24327,0,2922
MEX,*,24328,0,2922
MEX,*,29000,0,2922
MEX,*,29001,0,2922
MEX,*,29007,0,2922
MEX,*,29008,0,2922
MEX,*,29009,0,2922
MEX,*,29010,0,2922
MEX,*,29014,0,2922
MEX,*,29016,0,2922
MEX,*,29017,0,2922
MEX,*,29018,0,2922
MEX,*,29019,0,2922
MEX,*,29020,0,2922
MEX,*,29023,0,2922
MEX,*,29024,0,2922
MEX,*,29025,0,2922
MEX,*,29026,0,2922
MEX,*,29027,0,2922
MEX,*,29028,0,2922
MEX,*,29029,0,2922
MEX,*,29030,0,2922
MEX,*,29034,0,2922
MEX,*,29037,0,2922
MEX,*,29038,0,2922
MEX,*,29039,0,2922
MEX,*,29040,0,2922
MEX,*,29043,0,2922
MEX,*,29044,0,2922
MEX,*,29045,0,2922
MEX,*,29047,0,2922
MEX,*,29049,0,2922
MEX,*,29050,0,2922
MEX,*,29054,0,2922
MEX,*,29055,0,2922
MEX,*,29056,0,2922
MEX,*,29057,0,2922
MEX,*,29058,0,2922
MEX,*,29059,0,2922
MEX,*,29060,0,2922
MEX,*,29064,0,2922
MEX,*,29065,0,2922
MEX,*,29066,0,2922
MEX,*,29067,0,2922
MEX,*,29070,0,2922
MEX,*,29073,0,2922
MEX,*,29075,0,2922
MEX,*,29076,0,2922
MEX,*,29077,0,2922
MEX,*,29078,0,2922
MEX,*,29079,0,2922
MEX,*,29080,0,2922
MEX,*,29086,0,2922
MEX,*,29087,0,2922
MEX,*,29089,0,2922
MEX,*,29090,0,2922
MEX,*,29094,0,2922
MEX,*,29096,0,2922
MEX,*,29098,0,2922
MEX,*,29100,0,2922
MEX,*,29112,0,2922
MEX,*,29120,0,2922
MEX,*,29124,0,2922
MEX,*,29125,0,2922
MEX,*,29127,0,2922
MEX,*,29129,0,2922
MEX,*,29130,0,2922
MEX,*,29133,0,2922
MEX,*,29136,0,2922
MEX,*,29140,0,2922
MEX,*,29142,0,2922
MEX,*,29143,0,2922
MEX,*,29144,0,2922
MEX,*,29145,0,2922
MEX,*,29146,0,2922
MEX,*,29147,0,2922
MEX,*,29148,0,2922
MEX,*,29149,0,2922
MEX,*,29150,0,2922
MEX,*,29151,0,2922
MEX,*,29160,0,2922
MEX,*,29163,3,2922
MEX,*,29164,4,2922
MEX,*,29165,5,2922
MEX,*,29166,6,2922
MEX,*,29167,7,2922
MEX,*,29169,9,2922
MEX,*,29170,0,2922
MEX,*,29174,4,2922
MEX,*,29176,6,2922
MEX,*,29177,7,2922
MEX,*,29178,8,2922
MEX,*,29179,9,2922
MEX,*,29180,0,2922
MEX,*,29183,3,2922
MEX,*,29200,0,2922
MEX,*,29210,0,2922
MEX,*,29213,3,2922
MEX,*,29214,4,2922
MEX,*,29215,5,2922
MEX,*,29216,6,2922
MEX,*,29217,7,2922
MEX,*,29218,8,2922
MEX,*,29220,0,2922
MEX,*,29223,3,2922
MEX,*,29227,7,2922
MEX,*,29228,8,2922
MEX,*,29230,0,2922
MEX,*,29233,3,2922
MEX,*,29235,5,2922
MEX,*,29236,6,2922
MEX,*,29239,9,2922
MEX,*,29240,0,2922
MEX,*,29242,2,2922
MEX,*,29243,3,2922
MEX,*,29244,4,2922
MEX,*,29246,6,2922
MEX,*,29247,7,2922
MEX,*,29249,9,2922
MEX,*,29250,0,2922
MEX,*,29254,4,2922
MEX,*,29255,5,2922
MEX,*,29256,6,2922
MEX,*,29258,8,2922
MEX,*,29259,9,2922
MEX,*,29260,0,2922
MEX,*,29263,3,2922
MEX,*,29264,4,2922
MEX,*,29265,5,2922
MEX,*,29266,6,2922
MEX,*,29267,7,2922
MEX,*,29269,9,2922
MEX,*,29270,0,2922
MEX,*,29277,7,2922
MEX,*,29278,8,2922
MEX,*,29279,9,2922
MEX,*,29280,0,2922
MEX,*,29286,6,2922
MEX,*,29288,8,2922
MEX,*,29289,9,2922
MEX,*,29290,0,2922
MEX,*,29292,2,2922
MEX,*,29293,3,2922
MEX,*,29294,4,2922
MEX,*,29295,5,2922
MEX,*,29296,6,2922
MEX,*,29297,7,2922
MEX,*,29298,8,2922
MEX,*,29299,9,2922
MEX,*,29300,0,2922
MEX,*,29310,0,2922
MEX,*,29314,4,2922
MEX,*,29316,6,2922
MEX,*,29410,0,2922
MEX,*,29412,2,2922
MEX,*,29416,6,2922
MEX,*,29417,7,2922
MEX,*,29420,0,2922
MEX,*,29500,0,2922
MEX,*,29503,3,2922
MEX,*,29504,4,2922
MEX,*,29506,6,2922
MEX,*,29507,7,2922
MEX,*,29508,8,2922
MEX,*,29509,9,2922
MEX,*,29510,0,2922
MEX,*,29514,4,2922
MEX,*,29515,5,2922
MEX,*,29516,6,2922
MEX,*,29517,7,2922
MEX,*,29518,8,2922
MEX,*,29519,9,2922
MEX,*,29520,0,2922
MEX,*,29523,3,2922
MEX,*,29524,4,2922
MEX,*,29525,5,2922
MEX,*,29526,6,2922
MEX,*,29528,8,2922
MEX,*,29530,0,2922
MEX,*,29533,3,2922
MEX,*,29534,4,2922
MEX,*,29535,5,2922
MEX,*,29537,7,2922
MEX,*,29740,0,299
MEX,*,29744,4,299
MEX,*,29745,5,299
MEX,*,29746,6,299
MEX,*,29970,0,2922
MEX,*,30000,0,2922
MEX,*,30010,0,2922
MEX,*,30013,3,2922
MEX,*,30015,5,2922
MEX,*,30017,7,2922
MEX,*,30018,8,2922
MEX,*,30019,9,2922
MEX,*,30020,0,2922
MEX,*,30023,3,2922
MEX,*,30028,8,2922
MEX,*,30029,9,2922
MEX,*,30030,0,2922
MEX,*,30033,3,2922
MEX,*,30034,4,2922
MEX,*,30036,6,2922
MEX,*,30037,7,2922
MEX,*,30038,8,2922
MEX,*,30039,9,2922
MEX,*,30040,0,2922
MEX,*,30043,3,2922
MEX,*,30060,0,2922
MEX,*,30063,3,2922
MEX,*,30064,4,2922
MEX,*,30065,5,2922
MEX,*,30067,7,2922
MEX,*,30068,8,2922
MEX,*,30069,9,2922
MEX,*,30070,0,2922
MEX,*,30073,3,2922
MEX,*,30074,4,2922
MEX,*,30077,7,2922
MEX,*,30078,8,2922
MEX,*,30090,0,2922
MEX,*,30093,3,2922
MEX,*,30096,6,2922
MEX,*,30099,9,2922
MEX,*,30100,0,2922
MEX,*,30101,1,2922
MEX,*,30102,2,2922
MEX,*,30103,3,2922
MEX,*,30104,4,2922
MEX,*,30105,5,2922
MEX,*,30106,6,2922
MEX,*,30107,7,2922
MEX,*,30108,8,2922
MEX,*,30109,9,2922
MEX,*,30110,0,2922
MEX,*,30111,1,2922
MEX,*,30115,5,2922
MEX,*,30116,6,2922
MEX,*,30140,0,3819
MEX,*,30143,3,3819
MEX,*,30145,5,3819
MEX,*,30146,6,3819
MEX,*,30147,7,3819
MEX,*,30148,8,3819
MEX,*,30149,9,3819
MEX,*,30150,0,3819
MEX,*,30151,1,3819
MEX,*,30152,2,3819
MEX,*,30153,3,3819
MEX,*,30154,4,3819
MEX,*,30155,5,3819
MEX,*,30160,0,2922
MEX,*,30162,2,2922
MEX,*,30163,3,2922
MEX,*,30164,4,2922
MEX,*,30165,5,2922
MEX,*,30166,6,2922
MEX,*,30167,7,2922
MEX,*,30168,8,2922
MEX,*,30170,0,2922
MEX,*,30171,1,2922
MEX,*,30172,2,2922
MEX,*,30173,3,2922
MEX,*,30175,5,2922
MEX,*,30177,7,2922
MEX,*,30178,8,2922
MEX,*,30179,9,2922
MEX,*,30185,5,2922
MEX,*,30187,7,2922
MEX,*,30188,8,2922
MEX,*,30189,9,2922
MEX,*,30200,0,299
MEX,*,30202,2,299
MEX,*,30203,3,299
MEX,*,30204,4,299
MEX,*,30206,6,299
MEX,*,30207,7,299
MEX,*,30209,9,299
MEX,*,30210,0,299
MEX,*,30215,5,299
MEX,*,30216,6,299
MEX,*,30217,7,299
MEX,*,30218,8,299
MEX,*,30220,0,299
MEX,*,30223,3,299
MEX,*,30224,4,299
MEX,*,30225,5,299
MEX,*,30232,2,2922
MEX,*,30390,0,3222
MEX,*,30393,3,3222
MEX,*,30394,4,3222
MEX,*,30395,5,3222
MEX,*,30396,6,3222
MEX,*,30397,7,3222
MEX,*,30400,0,3222
MEX,*,30404,4,3222
MEX,*,30406,6,3222
MEX,*,30407,7,3222
MEX,*,30408,8,3222
MEX,*,30409,9,3222
MEX,*,30410,0,3222
MEX,*,30412,2,3222
MEX,*,30413,3,3222
MEX,*,30414,4,3222
MEX,*,30415,5,3222
MEX,*,30416,6,3222
MEX,*,30417,7,3222
MEX,*,30420,0,3222
MEX,*,30422,2,3222
MEX,*,30423,3,3222
MEX,*,30424,4,3222
MEX,*,30425,5,3222
MEX,*,30426,6,3222
MEX,*,30427,7,3222
MEX,*,30428,8,3222
MEX,*,30429,9,3222
MEX,*,30430,0,2922
MEX,*,30431,1,2922
MEX,*,30433,3,2922
MEX,*,30434,4,2922
MEX,*,30438,8,2922
MEX,*,30450,0,3222
MEX,*,30453,3,3222
MEX,*,30454,4,3222
MEX,*,30475,5,3222
MEX,*,30476,6,3222
MEX,*,30478,8,3222
MEX,*,30479,9,3222
MEX,*,30500,0,3222
MEX,*,30503,3,3222
MEX,*,30504,4,3222
MEX,*,30505,5,3222
MEX,*,30506,6,3222
MEX,*,30507,7,3222
MEX,*,30509,9,3222
MEX,*,30510,0,3222
MEX,*,30511,1,3222
MEX,*,30513,3,3222
