País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,01000,0.0000,399.0000
MEX,*,10000,0.0000,399.0000
MEX,*,10010,0.0000,399.0000
MEX,*,10020,0.0000,399.0000
MEX,*,01010,0.0000,399.0000
MEX,*,10100,0.0000,399.0000
MEX,*,10110,0.0000,399.0000
MEX,*,10130,0.0000,399.0000
MEX,*,01020,0.0000,399.0000
MEX,*,10200,0.0000,399.0000
MEX,*,10210,0.0000,399.0000
MEX,*,01028,0.0000,399.0000
MEX,*,01029,0.0000,399.0000
MEX,*,10290,0.0000,399.0000
MEX,*,01030,0.0000,399.0000
MEX,*,10300,0.0000,399.0000
MEX,*,10309,0.0000,399.0000
MEX,*,10320,0.0000,399.0000
MEX,*,10330,0.0000,399.0000
MEX,*,10340,0.0000,399.0000
MEX,*,10350,0.0000,399.0000
MEX,*,10360,0.0000,399.0000
MEX,*,10368,0.0000,399.0000
MEX,*,10369,0.0000,399.0000
MEX,*,10370,0.0000,399.0000
MEX,*,10378,0.0000,399.0000
MEX,*,10379,0.0000,399.0000
MEX,*,10380,0.0000,399.0000
MEX,*,01040,0.0000,399.0000
MEX,*,10400,0.0000,399.0000
MEX,*,01048,0.0000,399.0000
MEX,*,01049,0.0000,399.0000
MEX,*,01050,0.0000,399.0000
MEX,*,10500,0.0000,399.0000
MEX,*,10508,0.0000,399.0000
MEX,*,10509,0.0000,399.0000
MEX,*,10580,0.0000,399.0000
MEX,*,10589,0.0000,399.0000
MEX,*,01060,0.0000,399.0000
MEX,*,10600,0.0000,399.0000
MEX,*,10610,0.0000,399.0000
MEX,*,10620,0.0000,399.0000
MEX,*,10630,0.0000,399.0000
MEX,*,10640,0.0000,399.0000
MEX,*,10650,0.0000,399.0000
MEX,*,10660,0.0000,399.0000
MEX,*,01070,0.0000,399.0000
MEX,*,10700,0.0000,399.0000
MEX,*,10710,0.0000,399.0000
MEX,*,10720,0.0000,399.0000
MEX,*,10730,0.0000,399.0000
MEX,*,10740,0.0000,399.0000
MEX,*,01080,0.0000,399.0000
MEX,*,10800,0.0000,399.0000
MEX,*,10810,0.0000,399.0000
MEX,*,10820,0.0000,399.0000
MEX,*,10830,0.0000,399.0000
MEX,*,10840,0.0000,399.0000
MEX,*,01089,0.0000,399.0000
MEX,*,01090,0.0000,399.0000
MEX,*,10900,0.0000,399.0000
MEX,*,10910,0.0000,399.0000
MEX,*,10920,0.0000,399.0000
MEX,*,10926,0.0000,399.0000
MEX,*,01100,0.0000,399.0000
MEX,*,11000,0.0000,399.0000
MEX,*,11009,0.0000,399.0000
MEX,*,11040,0.0000,399.0000
MEX,*,01109,0.0000,399.0000
MEX,*,01110,0.0000,399.0000
MEX,*,11100,0.0000,399.0000
MEX,*,11109,0.0000,399.0000
MEX,*,01116,0.0000,399.0000
MEX,*,01120,0.0000,399.0000
MEX,*,11200,0.0000,399.0000
MEX,*,11209,0.0000,399.0000
MEX,*,11210,0.0000,399.0000
MEX,*,11219,0.0000,399.0000
MEX,*,11220,0.0000,399.0000
MEX,*,11230,0.0000,399.0000
MEX,*,11239,0.0000,399.0000
MEX,*,11240,0.0000,399.0000
MEX,*,01125,0.0000,399.0000
MEX,*,11250,0.0000,399.0000
MEX,*,11259,0.0000,399.0000
MEX,*,11260,0.0000,399.0000
MEX,*,11270,0.0000,399.0000
MEX,*,11280,0.0000,399.0000
MEX,*,11289,0.0000,399.0000
MEX,*,11290,0.0000,399.0000
MEX,*,01130,0.0000,399.0000
MEX,*,11300,0.0000,399.0000
MEX,*,11310,0.0000,399.0000
MEX,*,11311,0.0000,399.0000
MEX,*,11320,0.0000,399.0000
MEX,*,11330,0.0000,399.0000
MEX,*,11340,0.0000,399.0000
MEX,*,11350,0.0000,399.0000
MEX,*,11360,0.0000,399.0000
MEX,*,11370,0.0000,399.0000
MEX,*,11379,0.0000,399.0000
MEX,*,01139,0.0000,399.0000
MEX,*,01140,0.0000,399.0000
MEX,*,11400,0.0000,399.0000
MEX,*,11410,0.0000,399.0000
MEX,*,11420,0.0000,399.0000
MEX,*,11430,0.0000,399.0000
MEX,*,11440,0.0000,399.0000
MEX,*,11450,0.0000,399.0000
MEX,*,11460,0.0000,399.0000
MEX,*,11470,0.0000,399.0000
MEX,*,11479,0.0000,399.0000
MEX,*,11480,0.0000,399.0000
MEX,*,11489,0.0000,399.0000
MEX,*,11490,0.0000,399.0000
MEX,*,01150,0.0000,399.0000
MEX,*,11500,0.0000,399.0000
MEX,*,11501,0.0000,399.0000
MEX,*,11510,0.0000,399.0000
MEX,*,11511,0.0000,399.0000
MEX,*,11520,0.0000,399.0000
MEX,*,11529,0.0000,399.0000
MEX,*,11530,0.0000,399.0000
MEX,*,11540,0.0000,399.0000
MEX,*,11550,0.0000,399.0000
MEX,*,11560,0.0000,399.0000
MEX,*,11580,0.0000,399.0000
MEX,*,11587,0.0000,399.0000
MEX,*,01159,0.0000,399.0000
MEX,*,11590,0.0000,399.0000
MEX,*,01160,0.0000,399.0000
MEX,*,11600,0.0000,399.0000
MEX,*,11610,0.0000,399.0000
MEX,*,11619,0.0000,399.0000
MEX,*,11640,0.0000,399.0000
MEX,*,11649,0.0000,399.0000
MEX,*,11650,0.0000,399.0000
MEX,*,01170,0.0000,399.0000
MEX,*,11700,0.0000,399.0000
MEX,*,01180,0.0000,399.0000
MEX,*,11800,0.0000,399.0000
MEX,*,11810,0.0000,399.0000
MEX,*,11820,0.0000,399.0000
MEX,*,11830,0.0000,399.0000
MEX,*,01184,0.0000,399.0000
MEX,*,11840,0.0000,399.0000
MEX,*,11850,0.0000,399.0000
MEX,*,11860,0.0000,399.0000
MEX,*,11869,0.0000,399.0000
MEX,*,11870,0.0000,399.0000
MEX,*,11910,0.0000,399.0000
MEX,*,11920,0.0000,399.0000
MEX,*,11930,0.0000,399.0000
MEX,*,11950,0.0000,399.0000
MEX,*,01200,0.0000,399.0000
MEX,*,12000,0.0000,399.0000
MEX,*,12009,0.0000,399.0000
MEX,*,12070,0.0000,399.0000
MEX,*,12080,0.0000,399.0000
MEX,*,01209,0.0000,399.0000
MEX,*,01210,0.0000,399.0000
MEX,*,12100,0.0000,399.0000
MEX,*,12110,0.0000,399.0000
MEX,*,01219,0.0000,399.0000
MEX,*,01220,0.0000,399.0000
MEX,*,12200,0.0000,399.0000
MEX,*,12250,0.0000,399.0000
MEX,*,01230,0.0000,399.0000
MEX,*,12300,0.0000,399.0000
MEX,*,01239,0.0000,399.0000
MEX,*,01240,0.0000,399.0000
MEX,*,12400,0.0000,399.0000
MEX,*,12410,0.0000,399.0000
MEX,*,01250,0.0000,399.0000
MEX,*,12500,0.0000,399.0000
MEX,*,01259,0.0000,399.0000
MEX,*,01260,0.0000,399.0000
MEX,*,12600,0.0000,399.0000
MEX,*,01269,0.0000,399.0000
MEX,*,01270,0.0000,399.0000
MEX,*,12700,0.0000,399.0000
MEX,*,01275,0.0000,399.0000
MEX,*,01276,0.0000,399.0000
MEX,*,01278,0.0000,399.0000
MEX,*,01279,0.0000,399.0000
MEX,*,01280,0.0000,399.0000
MEX,*,12800,0.0000,399.0000
MEX,*,01285,0.0000,399.0000
MEX,*,01289,0.0000,399.0000
MEX,*,01290,0.0000,399.0000
MEX,*,12910,0.0000,399.0000
MEX,*,12920,0.0000,399.0000
MEX,*,12930,0.0000,399.0000
MEX,*,12940,0.0000,399.0000
MEX,*,12950,0.0000,399.0000
MEX,*,01296,0.0000,399.0000
MEX,*,01298,0.0000,399.0000
MEX,*,01299,0.0000,399.0000
MEX,*,13000,0.0000,399.0000
MEX,*,13009,0.0000,399.0000
MEX,*,13010,0.0000,399.0000
MEX,*,13020,0.0000,399.0000
MEX,*,13030,0.0000,399.0000
MEX,*,13040,0.0000,399.0000
MEX,*,13050,0.0000,399.0000
MEX,*,13060,0.0000,399.0000
MEX,*,13063,0.0000,399.0000
MEX,*,13070,0.0000,399.0000
MEX,*,13080,0.0000,399.0000
MEX,*,13090,0.0000,399.0000
MEX,*,13093,0.0000,399.0000
MEX,*,13094,0.0000,399.0000
MEX,*,13099,0.0000,399.0000
MEX,*,01310,0.0000,399.0000
MEX,*,13100,0.0000,399.0000
MEX,*,13110,0.0000,399.0000
MEX,*,13119,0.0000,399.0000
